#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2664225,65123400,2,KNU85_gp002,SEA_DIRKDIRK_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2664225,65123401,3,KNU85_gp003,SEA_DIRKDIRK_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123402,4,KNU85_gp004,SEA_DIRKDIRK_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2664225,65123403,5,KNU85_gp005,SEA_DIRKDIRK_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2664225,65123404,6,KNU85_gp006,SEA_DIRKDIRK_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210608,-
2664225,65123405,7,KNU85_gp007,SEA_DIRKDIRK_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2664225,65123406,8,KNU85_gp008,SEA_DIRKDIRK_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2664225,65123407,9,KNU85_gp009,SEA_DIRKDIRK_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2664225,65123408,10,KNU85_gp010,SEA_DIRKDIRK_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210608,-
2664225,65123409,11,KNU85_gp011,SEA_DIRKDIRK_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123410,12,KNU85_gp012,SEA_DIRKDIRK_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210608,-
2664225,65123411,13,KNU85_gp013,SEA_DIRKDIRK_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2664225,65123412,15,KNU85_gp014,SEA_DIRKDIRK_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2664225,65123413,16,KNU85_gp016,SEA_DIRKDIRK_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2664225,65123414,14,KNU85_gp015,SEA_DIRKDIRK_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2664225,65123415,17,KNU85_gp017,SEA_DIRKDIRK_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2664225,65123416,18,KNU85_gp018,SEA_DIRKDIRK_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2664225,65123417,19,KNU85_gp019,SEA_DIRKDIRK_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2664225,65123418,20,KNU85_gp020,SEA_DIRKDIRK_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2664225,65123419,21,KNU85_gp021,SEA_DIRKDIRK_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2664225,65123420,22,KNU85_gp022,SEA_DIRKDIRK_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123421,23,KNU85_gp023,SEA_DIRKDIRK_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
