#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656561,60326185,2,I5H15_gp002,SEA_BLEXUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2656561,60326186,3,I5H15_gp003,SEA_BLEXUS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2656561,60326187,4,I5H15_gp004,SEA_BLEXUS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2656561,60326188,5,I5H15_gp005,SEA_BLEXUS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2656561,60326189,6,I5H15_gp006,SEA_BLEXUS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2656561,60326190,7,I5H15_gp007,SEA_BLEXUS_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2656561,60326191,8,I5H15_gp008,SEA_BLEXUS_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2656561,60326192,9,I5H15_gp009,SEA_BLEXUS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2656561,60326193,10,I5H15_gp010,SEA_BLEXUS_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2656561,60326194,11,I5H15_gp011,SEA_BLEXUS_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2656561,60326195,13,I5H15_gp012,SEA_BLEXUS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656561,60326196,14,I5H15_gp014,SEA_BLEXUS_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
2656561,60326197,12,I5H15_gp013,SEA_BLEXUS_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656561,60326198,15,I5H15_gp015,SEA_BLEXUS_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656561,60326199,16,I5H15_gp016,SEA_BLEXUS_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656561,60326200,17,I5H15_gp017,SEA_BLEXUS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326201,18,I5H15_gp018,SEA_BLEXUS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656561,60326202,19,I5H15_gp019,SEA_BLEXUS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656561,60326203,20,I5H15_gp020,SEA_BLEXUS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656561,60326204,21,I5H15_gp021,SEA_BLEXUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326205,22,I5H15_gp022,SEA_BLEXUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326206,23,I5H15_gp023,SEA_BLEXUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2656561,60326207,24,I5H15_gp024,SEA_BLEXUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326208,25,I5H15_gp025,SEA_BLEXUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326209,26,I5H15_gp026,SEA_BLEXUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326210,27,I5H15_gp027,SEA_BLEXUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326211,28,I5H15_gp028,SEA_BLEXUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326212,29,I5H15_gp029,SEA_BLEXUS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326213,30,I5H15_gp030,SEA_BLEXUS_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2656561,60326214,31,I5H15_gp031,SEA_BLEXUS_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2656561,60326215,32,I5H15_gp032,SEA_BLEXUS_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2656561,60326216,33,I5H15_gp033,SEA_BLEXUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2656561,60326217,34,I5H15_gp034,SEA_BLEXUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326218,35,I5H15_gp035,SEA_BLEXUS_35,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2656561,60326219,36,I5H15_gp036,SEA_BLEXUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
