#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821540,40093366,2,FDI84_gp02,SEA_PIPSQUEAKS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1821540,40093367,3,FDI84_gp03,SEA_PIPSQUEAKS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093368,4,FDI84_gp04,SEA_PIPSQUEAKS_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1821540,40093369,5,FDI84_gp05,SEA_PIPSQUEAKS_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821540,40093370,6,FDI84_gp06,SEA_PIPSQUEAKS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1821540,40093371,7,FDI84_gp07,SEA_PIPSQUEAKS_7,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1821540,40093372,8,FDI84_gp08,SEA_PIPSQUEAKS_8,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1821540,40093373,9,FDI84_gp09,SEA_PIPSQUEAKS_9,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1821540,40093374,10,FDI84_gp10,SEA_PIPSQUEAKS_10,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1821540,40093375,11,FDI84_gp11,SEA_PIPSQUEAKS_11,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20210424,-
1821540,40093376,12,FDI84_gp12,SEA_PIPSQUEAKS_12,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1821540,40093377,13,FDI84_gp13,SEA_PIPSQUEAKS_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1821540,40093378,15,FDI84_gp14,SEA_PIPSQUEAKS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821540,40093379,16,FDI84_gp16,SEA_PIPSQUEAKS_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1821540,40093380,14,FDI84_gp15,SEA_PIPSQUEAKS_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821540,40093381,17,FDI84_gp17,SEA_PIPSQUEAKS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821540,40093382,18,FDI84_gp18,SEA_PIPSQUEAKS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821540,40093383,19,FDI84_gp19,SEA_PIPSQUEAKS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821540,40093384,20,FDI84_gp20,SEA_PIPSQUEAKS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821540,40093385,21,FDI84_gp21,SEA_PIPSQUEAKS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093386,22,FDI84_gp22,SEA_PIPSQUEAKS_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821540,40093387,23,FDI84_gp23,SEA_PIPSQUEAKS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093388,24,FDI84_gp24,SEA_PIPSQUEAKS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093389,25,FDI84_gp25,SEA_PIPSQUEAKS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093390,26,FDI84_gp26,SEA_PIPSQUEAKS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093391,27,FDI84_gp27,SEA_PIPSQUEAKS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821540,40093392,28,FDI84_gp28,SEA_PIPSQUEAKS_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1821540,40093393,29,FDI84_gp29,SEA_PIPSQUEAKS_29,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1821540,40093394,30,FDI84_gp30,SEA_PIPSQUEAKS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1821540,40093395,31,FDI84_gp31,SEA_PIPSQUEAKS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093396,32,FDI84_gp32,SEA_PIPSQUEAKS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093397,33,FDI84_gp33,SEA_PIPSQUEAKS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093398,34,FDI84_gp34,SEA_PIPSQUEAKS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093399,35,FDI84_gp35,SEA_PIPSQUEAKS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1821540,40093400,36,FDI84_gp36,SEA_PIPSQUEAKS_36,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1821540,40093401,37,FDI84_gp37,SEA_PIPSQUEAKS_37,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1821540,40093402,38,FDI84_gp38,SEA_PIPSQUEAKS_38,-,-,-,excise,protein-coding,-,-,-,excise,20210417,-
1821540,40093403,39,FDI84_gp39,SEA_PIPSQUEAKS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093404,40,FDI84_gp40,SEA_PIPSQUEAKS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093405,41,FDI84_gp41,SEA_PIPSQUEAKS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093406,42,FDI84_gp42,SEA_PIPSQUEAKS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093407,43,FDI84_gp43,SEA_PIPSQUEAKS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093408,44,FDI84_gp44,SEA_PIPSQUEAKS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093409,45,FDI84_gp45,SEA_PIPSQUEAKS_45,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1821540,40093410,46,FDI84_gp46,SEA_PIPSQUEAKS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093411,47,FDI84_gp47,SEA_PIPSQUEAKS_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
1821540,40093412,48,FDI84_gp48,SEA_PIPSQUEAKS_48,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210424,-
1821540,40093413,49,FDI84_gp49,SEA_PIPSQUEAKS_49,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1821540,40093414,50,FDI84_gp50,SEA_PIPSQUEAKS_50,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1821540,40093415,51,FDI84_gp51,SEA_PIPSQUEAKS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093416,52,FDI84_gp52,SEA_PIPSQUEAKS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093417,53,FDI84_gp53,SEA_PIPSQUEAKS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093418,54,FDI84_gp54,SEA_PIPSQUEAKS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093419,55,FDI84_gp55,SEA_PIPSQUEAKS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093420,56,FDI84_gp56,SEA_PIPSQUEAKS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093421,57,FDI84_gp57,SEA_PIPSQUEAKS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821540,40093422,58,FDI84_gp58,SEA_PIPSQUEAKS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093423,59,FDI84_gp59,SEA_PIPSQUEAKS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093424,60,FDI84_gp60,SEA_PIPSQUEAKS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093425,61,FDI84_gp61,SEA_PIPSQUEAKS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093426,62,FDI84_gp62,SEA_PIPSQUEAKS_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821540,40093427,63,FDI84_gp63,SEA_PIPSQUEAKS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093428,64,FDI84_gp64,SEA_PIPSQUEAKS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093429,65,FDI84_gp65,SEA_PIPSQUEAKS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093430,66,FDI84_gp66,SEA_PIPSQUEAKS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093431,67,FDI84_gp67,SEA_PIPSQUEAKS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093432,68,FDI84_gp68,SEA_PIPSQUEAKS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093433,69,FDI84_gp69,SEA_PIPSQUEAKS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093434,70,FDI84_gp70,SEA_PIPSQUEAKS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821540,40093435,71,FDI84_gp71,SEA_PIPSQUEAKS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
