#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838079,28378654,2,BEN59_gp002,PBI_SOUPS_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210424,-
1838079,28378655,3,BEN59_gp003,PBI_SOUPS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378656,4,BEN59_gp004,PBI_SOUPS_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200719,-
1838079,28378657,5,BEN59_gp005,PBI_SOUPS_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200719,-
1838079,28378658,6,BEN59_gp006,PBI_SOUPS_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378659,7,BEN59_gp007,PBI_SOUPS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378660,8,BEN59_gp008,PBI_SOUPS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378661,9,BEN59_gt001,PBI_SOUPS_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838079,28378662,10,BEN59_gt002,PBI_SOUPS_10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838079,28378663,11,BEN59_gt003,PBI_SOUPS_11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838079,28378664,12,BEN59_gp099,PBI_SOUPS_12,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200719,-
1838079,28378665,13,BEN59_gp098,PBI_SOUPS_13,-,-,-,holin,protein-coding,-,-,-,holin,20200719,-
1838079,28378666,14,BEN59_gp097,PBI_SOUPS_14,-,-,-,terminase,protein-coding,-,-,-,terminase,20200912,-
1838079,28378667,15,BEN59_gp096,PBI_SOUPS_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200719,-
1838079,28378668,16,BEN59_gp095,PBI_SOUPS_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200719,-
1838079,28378669,17,BEN59_gp094,PBI_SOUPS_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200719,-
1838079,28378670,18,BEN59_gp093,PBI_SOUPS_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1838079,28378671,19,BEN59_gp092,PBI_SOUPS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378672,20,BEN59_gp091,PBI_SOUPS_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200719,-
1838079,28378673,21,BEN59_gp090,PBI_SOUPS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378674,22,BEN59_gp089,PBI_SOUPS_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200719,-
1838079,28378675,23,BEN59_gp088,PBI_SOUPS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838079,28378676,24,BEN59_gp087,PBI_SOUPS_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200719,-
1838079,28378677,25,BEN59_gp086,PBI_SOUPS_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200719,-
1838079,28378678,27,BEN59_gp084,PBI_SOUPS_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1838079,28378679,28,BEN59_gp083,PBI_SOUPS_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200719,-
1838079,28378680,26,BEN59_gp085,PBI_SOUPS_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1838079,28378681,29,BEN59_gp082,PBI_SOUPS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838079,28378682,30,BEN59_gp081,PBI_SOUPS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838079,28378683,31,BEN59_gp080,PBI_SOUPS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838079,28378684,32,BEN59_gp079,PBI_SOUPS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
1838079,28378685,33,BEN59_gp078,PBI_SOUPS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838079,28378686,34,BEN59_gp077,PBI_SOUPS_34,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210424,-
1838079,28378687,35,BEN59_gp076,PBI_SOUPS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378688,36,BEN59_gp075,PBI_SOUPS_36,-,-,-,ParA-like dsDNA partitioning protein,protein-coding,-,-,-,ParA-like dsDNA partitioning protein,20200719,-
1838079,28378689,37,BEN59_gp074,PBI_SOUPS_37,-,-,-,ParB,protein-coding,-,-,-,ParB,20200719,-
1838079,28378690,38,BEN59_gp073,PBI_SOUPS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378691,39,BEN59_gp072,PBI_SOUPS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378692,40,BEN59_gp071,PBI_SOUPS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378693,41,BEN59_gp070,PBI_SOUPS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378694,42,BEN59_gp069,PBI_SOUPS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378695,43,BEN59_gp068,PBI_SOUPS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378696,44,BEN59_gp067,PBI_SOUPS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378697,45,BEN59_gp066,PBI_SOUPS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378698,46,BEN59_gp065,PBI_SOUPS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838079,28378699,47,BEN59_gp064,PBI_SOUPS_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
1838079,28378700,48,BEN59_gp063,PBI_SOUPS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378701,49,BEN59_gp062,PBI_SOUPS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378702,50,BEN59_gp061,PBI_SOUPS_50,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200912,-
1838079,28378703,51,BEN59_gp060,PBI_SOUPS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378704,52,BEN59_gp059,PBI_SOUPS_52,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200719,-
1838079,28378705,53,BEN59_gp058,PBI_SOUPS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378706,54,BEN59_gp057,PBI_SOUPS_54,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200719,-
1838079,28378707,55,BEN59_gp056,PBI_SOUPS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378708,56,BEN59_gp055,PBI_SOUPS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378709,57,BEN59_gp054,PBI_SOUPS_57,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200719,-
1838079,28378710,58,BEN59_gp053,PBI_SOUPS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378711,59,BEN59_gp052,PBI_SOUPS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378712,60,BEN59_gp051,PBI_SOUPS_60,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200719,-
1838079,28378713,61,BEN59_gp050,PBI_SOUPS_61,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200912,-
1838079,28378714,62,BEN59_gp049,PBI_SOUPS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378715,63,BEN59_gp048,PBI_SOUPS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378716,64,BEN59_gp047,PBI_SOUPS_64,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
1838079,28378717,65,BEN59_gp046,PBI_SOUPS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378718,66,BEN59_gp045,PBI_SOUPS_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
1838079,28378719,67,BEN59_gp044,PBI_SOUPS_67,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1838079,28378720,68,BEN59_gp043,PBI_SOUPS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378721,69,BEN59_gp042,PBI_SOUPS_69,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200912,-
1838079,28378722,70,BEN59_gp041,PBI_SOUPS_70,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200912,-
1838079,28378723,71,BEN59_gp040,PBI_SOUPS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378724,72,BEN59_gp039,PBI_SOUPS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378725,73,BEN59_gp038,PBI_SOUPS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378726,74,BEN59_gp037,PBI_SOUPS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378727,75,BEN59_gp036,PBI_SOUPS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378728,76,BEN59_gp035,PBI_SOUPS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378729,77,BEN59_gp034,PBI_SOUPS_77,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200719,-
1838079,28378730,78,BEN59_gp033,PBI_SOUPS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378731,79,BEN59_gp032,PBI_SOUPS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838079,28378732,80,BEN59_gp031,PBI_SOUPS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378733,81,BEN59_gp030,PBI_SOUPS_81,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200719,-
1838079,28378734,82,BEN59_gp029,PBI_SOUPS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838079,28378735,83,BEN59_gp028,PBI_SOUPS_83,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200719,-
1838079,28378736,84,BEN59_gp027,PBI_SOUPS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378737,85,BEN59_gp026,PBI_SOUPS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378738,86,BEN59_gp025,PBI_SOUPS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378739,87,BEN59_gp024,PBI_SOUPS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378740,88,BEN59_gp023,PBI_SOUPS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378741,89,BEN59_gp022,PBI_SOUPS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378742,90,BEN59_gp021,PBI_SOUPS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378743,91,BEN59_gp020,PBI_SOUPS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378744,92,BEN59_gp019,PBI_SOUPS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378745,93,BEN59_gp018,PBI_SOUPS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378746,94,BEN59_gp017,PBI_SOUPS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378747,95,BEN59_gp016,PBI_SOUPS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378748,96,BEN59_gp015,PBI_SOUPS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378749,97,BEN59_gp014,PBI_SOUPS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378750,98,BEN59_gp013,PBI_SOUPS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378751,99,BEN59_gp012,PBI_SOUPS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378752,100,BEN59_gp011,PBI_SOUPS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378753,101,BEN59_gp010,PBI_SOUPS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378754,102,BEN59_gp009,PBI_SOUPS_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28378755,1,BEN59_gp001,PBI_SOUPS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838079,28417744,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
