#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647474,26516786,AU100_gp02,AU100_gp02,GTE6_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20210424,-
1647474,26516787,AU100_gp03,AU100_gp03,GTE6_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516788,AU100_gp04,AU100_gp04,GTE6_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516789,AU100_gp05,AU100_gp05,GTE6_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516790,AU100_gp06,AU100_gp06,GTE6_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516791,AU100_gp07,AU100_gp07,GTE6_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516792,AU100_gp08,AU100_gp08,GTE6_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516793,AU100_gp09,AU100_gp09,GTE6_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516794,AU100_gp10,AU100_gp10,GTE6_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516795,AU100_gp11,AU100_gp11,GTE6_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516796,AU100_gp12,AU100_gp12,GTE6_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516797,AU100_gp13,AU100_gp13,GTE6_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516798,AU100_gp14,AU100_gp14,GTE6_14,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647474,26516799,AU100_gp15,AU100_gp15,GTE6_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516800,AU100_gp16,AU100_gp16,GTE6_16,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647474,26516801,AU100_gp17,AU100_gp17,GTE6_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516802,AU100_gp18,AU100_gp18,GTE6_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516803,AU100_gp19,AU100_gp19,GTE6_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516804,AU100_gp20,AU100_gp20,GTE6_20,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647474,26516805,AU100_gp21,AU100_gp21,GTE6_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516806,AU100_gp22,AU100_gp22,GTE6_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516807,AU100_gp23,AU100_gp23,GTE6_23,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647474,26516808,AU100_gp24,AU100_gp24,GTE6_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516809,AU100_gp25,AU100_gp25,GTE6_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516810,AU100_gp26,AU100_gp26,GTE6_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516811,AU100_gp27,AU100_gp27,GTE6_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516812,AU100_gp28,AU100_gp28,GTE6_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516813,AU100_gp29,AU100_gp29,GTE6_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516814,AU100_gp30,AU100_gp30,GTE6_30,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1647474,26516815,AU100_gp31,AU100_gp31,GTE6_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516816,AU100_gp32,AU100_gp32,GTE6_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516817,AU100_gp33,AU100_gp33,GTE6_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516818,AU100_gp34,AU100_gp34,GTE6_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516819,AU100_gp35,AU100_gp35,GTE6_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516820,AU100_gp36,AU100_gp36,GTE6_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516821,AU100_gp37,AU100_gp37,GTE6_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516822,AU100_gp38,AU100_gp38,GTE6_38,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647474,26516823,AU100_gp39,AU100_gp39,GTE6_39,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1647474,26516824,AU100_gp40,AU100_gp40,GTE6_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516825,AU100_gp41,AU100_gp41,GTE6_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516826,AU100_gp42,AU100_gp42,GTE6_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516827,AU100_gp43,AU100_gp43,GTE6_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516828,AU100_gp44,AU100_gp44,GTE6_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516829,AU100_gp45,AU100_gp45,GTE6_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516830,AU100_gp46,AU100_gp46,GTE6_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516831,AU100_gp47,AU100_gp47,GTE6_47,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20201221,-
1647474,26516832,AU100_gp48,AU100_gp48,GTE6_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516833,AU100_gp49,AU100_gp49,GTE6_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516834,AU100_gp50,AU100_gp50,GTE6_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1647474,26516835,AU100_gp51,AU100_gp51,GTE6_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516836,AU100_gp52,AU100_gp52,GTE6_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516837,AU100_gp53,AU100_gp53,GTE6_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516838,AU100_gp54,AU100_gp54,GTE6_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516839,AU100_gp55,AU100_gp55,GTE6_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516840,AU100_gp56,AU100_gp56,GTE6_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516841,AU100_gp57,AU100_gp57,GTE6_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516842,AU100_gp58,AU100_gp58,GTE6_58,-,-,-,putative cutinase,protein-coding,-,-,-,putative cutinase,20201221,-
1647474,26516843,AU100_gp59,AU100_gp59,GTE6_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516844,AU100_gp60,AU100_gp60,GTE6_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516845,AU100_gp61,AU100_gp61,GTE6_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516846,AU100_gp62,AU100_gp62,GTE6_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516847,AU100_gp63,AU100_gp63,GTE6_63,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20201221,-
1647474,26516848,AU100_gp64,AU100_gp64,GTE6_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516849,AU100_gp65,AU100_gp65,GTE6_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516850,AU100_gp66,AU100_gp66,GTE6_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516851,AU100_gp67,AU100_gp67,GTE6_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516852,AU100_gp68,AU100_gp68,GTE6_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516853,AU100_gp69,AU100_gp69,GTE6_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516854,AU100_gp70,AU100_gp70,GTE6_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516855,AU100_gp71,AU100_gp71,GTE6_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516856,AU100_gp72,AU100_gp72,GTE6_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516857,AU100_gp73,AU100_gp73,GTE6_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516858,AU100_gp74,AU100_gp74,GTE6_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516859,AU100_gp76,AU100_gp76,GTE6_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516860,AU100_gp75,AU100_gp75,GTE6_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516861,AU100_gp77,AU100_gp77,GTE6_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516862,AU100_gp78,AU100_gp78,GTE6_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516863,AU100_gp79,AU100_gp79,GTE6_79,-,-,-,DNA polymerase III subunit epsilon,protein-coding,-,-,-,DNA polymerase III subunit epsilon,20201221,-
1647474,26516864,AU100_gp80,AU100_gp80,GTE6_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516865,AU100_gp81,AU100_gp81,GTE6_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516866,AU100_gp82,AU100_gp82,GTE6_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516867,AU100_gp83,AU100_gp83,GTE6_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516868,AU100_gp84,AU100_gp84,GTE6_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516869,AU100_gp85,AU100_gp85,GTE6_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516870,AU100_gp86,AU100_gp86,GTE6_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647474,26516871,AU100_gp01,AU100_gp01,GTE6_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
