#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
261726,5076204,VPVV882_gp70,VPVV882_gp70,-,-,-,-,conserved putative phage-related protein,protein-coding,-,-,-,conserved putative phage-related protein,20201220,-
261726,5076205,VPVV882_gp59,VPVV882_gp59,-,-,-,-,putative repressor protein,protein-coding,-,-,-,putative repressor protein,20201220,-
261726,5076206,VPVV882_gp68,VPVV882_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076207,VPVV882_gp54,VPVV882_gp54,-,-,-,-,protelomerase,protein-coding,-,-,-,protelomerase,20201220,-
261726,5076208,VPVV882_gp37,VPVV882_gp37,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20201220,-
261726,5076209,VPVV882_gp64,VPVV882_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076210,VPVV882_gp04,VPVV882_gp04,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20201220,-
261726,5076211,VPVV882_gp53,VPVV882_gp53,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
261726,5076212,VPVV882_gp69,VPVV882_gp69,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076213,VPVV882_gp20,VPVV882_gp20,-,-,-,-,phage tail protein I,protein-coding,-,-,-,phage tail protein I,20201220,-
261726,5076214,VPVV882_gp52,VPVV882_gp52,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076215,VPVV882_gp10,VPVV882_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076216,VPVV882_gp18,VPVV882_gp18,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076217,VPVV882_gp63,VPVV882_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076218,VPVV882_gp58,VPVV882_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076219,VPVV882_gp26,VPVV882_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076220,VPVV882_gp24,VPVV882_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076221,VPVV882_gp57,VPVV882_gp57,-,-,-,-,putative replication protein RepA,protein-coding,-,-,-,putative replication protein RepA,20201220,-
261726,5076222,VPVV882_gp03,VPVV882_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076223,VPVV882_gp01,VPVV882_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076224,VPVV882_gp30,VPVV882_gp30,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076225,VPVV882_gp67,VPVV882_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076226,VPVV882_gp61,VPVV882_gp61,-,-,-,-,TraR/DksA family transcriptional regulator,protein-coding,-,-,-,TraR/DksA family transcriptional regulator,20201220,-
261726,5076227,VPVV882_gp65,VPVV882_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076228,VPVV882_gp56,VPVV882_gp56,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201220,-
261726,5076229,VPVV882_gp42,VPVV882_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076230,VPVV882_gp62,VPVV882_gp62,-,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20201220,-
261726,5076231,VPVV882_gp71,VPVV882_gp71,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076232,VPVV882_gp43,VPVV882_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076233,VPVV882_gp44,VPVV882_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
