#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673874,54972650,HOQ81_gp001,HOQ81_gp001,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20201221,-
1673874,54972651,HOQ81_gp209,HOQ81_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972652,HOQ81_gt002,HOQ81_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1673874,54972653,HOQ81_gt003,HOQ81_gt003,-,-,-,-,tRNA-Pseudo,tRNA,-,-,-,-,20200910,-
1673874,54972654,HOQ81_gp168,HOQ81_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972655,HOQ81_gp002,HOQ81_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972656,HOQ81_gp003,HOQ81_gp003,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1673874,54972657,HOQ81_gp004,HOQ81_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972658,HOQ81_gp005,HOQ81_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972659,HOQ81_gp006,HOQ81_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972660,HOQ81_gp007,HOQ81_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972661,HOQ81_gp008,HOQ81_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972662,HOQ81_gp009,HOQ81_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972663,HOQ81_gp010,HOQ81_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972664,HOQ81_gt001,HOQ81_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1673874,54972665,HOQ81_gp208,HOQ81_gp208,-,-,-,-,holin,protein-coding,-,-,-,holin,20210130,-
1673874,54972666,HOQ81_gp207,HOQ81_gp207,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210130,-
1673874,54972667,HOQ81_gp206,HOQ81_gp206,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210130,-
1673874,54972668,HOQ81_gp205,HOQ81_gp205,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200926,-
1673874,54972669,HOQ81_gp204,HOQ81_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972670,HOQ81_gp203,HOQ81_gp203,-,-,-,-,prohibitin family protein,protein-coding,-,-,-,prohibitin family protein,20201221,-
1673874,54972671,HOQ81_gp202,HOQ81_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972672,HOQ81_gp201,HOQ81_gp201,-,-,-,-,SceD-like transglycosylase,protein-coding,-,-,-,SceD-like transglycosylase,20210130,-
1673874,54972673,HOQ81_gp200,HOQ81_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972674,HOQ81_gp199,HOQ81_gp199,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1673874,54972675,HOQ81_gp198,HOQ81_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972676,HOQ81_gp197,HOQ81_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
