#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
937835,18559040,CJ98_gp02,CJ98_gp02,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201220,-
937835,18559041,CJ98_gp03,CJ98_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559042,CJ98_gp04,CJ98_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559043,CJ98_gp05,CJ98_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559044,CJ98_gp06,CJ98_gp06,-,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20201220,-
937835,18559045,CJ98_gp07,CJ98_gp07,-,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20200629,-
937835,18559046,CJ98_gp08,CJ98_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559047,CJ98_gp09,CJ98_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559048,CJ98_gp10,CJ98_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559049,CJ98_gp11,CJ98_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559050,CJ98_gp12,CJ98_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559051,CJ98_gp13,CJ98_gp13,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210403,-
937835,18559052,CJ98_gp14,CJ98_gp14,-,-,-,-,putative integral membrane protein,protein-coding,-,-,-,putative integral membrane protein,20200629,-
937835,18559053,CJ98_gp15,CJ98_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559054,CJ98_gp16,CJ98_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559055,CJ98_gp17,CJ98_gp17,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201220,-
937835,18559056,CJ98_gp18,CJ98_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559057,CJ98_gp19,CJ98_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559058,CJ98_gp20,CJ98_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559059,CJ98_gp21,CJ98_gp21,-,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210424,-
937835,18559060,CJ98_gp22,CJ98_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559061,CJ98_gp23,CJ98_gp23,-,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201220,-
937835,18559062,CJ98_gp24,CJ98_gp24,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
937835,18559063,CJ98_gp25,CJ98_gp25,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20200629,-
