#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2794944,63910831,2,KDJ01_gp02,SEA_KITTYKAT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210605,-
2794944,63910832,3,KDJ01_gp03,SEA_KITTYKAT_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210605,-
2794944,63910833,4,KDJ01_gp04,SEA_KITTYKAT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210605,-
2794944,63910834,5,KDJ01_gp05,SEA_KITTYKAT_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210605,-
2794944,63910835,6,KDJ01_gp06,SEA_KITTYKAT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910836,7,KDJ01_gp07,SEA_KITTYKAT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210420,-
2794944,63910837,8,KDJ01_gp08,SEA_KITTYKAT_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210420,-
2794944,63910838,9,KDJ01_gp09,SEA_KITTYKAT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910839,10,KDJ01_gp10,SEA_KITTYKAT_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210420,-
2794944,63910840,11,KDJ01_gp11,SEA_KITTYKAT_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210420,-
2794944,63910841,13,KDJ01_gp12,SEA_KITTYKAT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2794944,63910842,14,KDJ01_gp14,SEA_KITTYKAT_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210605,-
2794944,63910843,12,KDJ01_gp13,SEA_KITTYKAT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2794944,63910844,15,KDJ01_gp15,SEA_KITTYKAT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210605,-
2794944,63910845,16,KDJ01_gp16,SEA_KITTYKAT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2794944,63910846,17,KDJ01_gp17,SEA_KITTYKAT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210605,-
2794944,63910847,18,KDJ01_gp18,SEA_KITTYKAT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2794944,63910848,19,KDJ01_gp19,SEA_KITTYKAT_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910849,20,KDJ01_gp20,SEA_KITTYKAT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910850,21,KDJ01_gp21,SEA_KITTYKAT_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210605,-
2794944,63910851,22,KDJ01_gp22,SEA_KITTYKAT_22,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2794944,63910852,23,KDJ01_gp23,SEA_KITTYKAT_23,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210605,-
2794944,63910853,24,KDJ01_gp24,SEA_KITTYKAT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910854,25,KDJ01_gp25,SEA_KITTYKAT_25,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210605,-
2794944,63910855,26,KDJ01_gp26,SEA_KITTYKAT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910856,27,KDJ01_gp27,SEA_KITTYKAT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910857,28,KDJ01_gp28,SEA_KITTYKAT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910858,29,KDJ01_gp29,SEA_KITTYKAT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910859,30,KDJ01_gp30,SEA_KITTYKAT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910860,31,KDJ01_gp31,SEA_KITTYKAT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910861,32,KDJ01_gp32,SEA_KITTYKAT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910862,33,KDJ01_gp33,SEA_KITTYKAT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910863,34,KDJ01_gp34,SEA_KITTYKAT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910864,35,KDJ01_gp35,SEA_KITTYKAT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910865,36,KDJ01_gp36,SEA_KITTYKAT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910866,37,KDJ01_gp37,SEA_KITTYKAT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910867,38,KDJ01_gp38,SEA_KITTYKAT_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210420,-
2794944,63910868,39,KDJ01_gp39,SEA_KITTYKAT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910869,40,KDJ01_gp40,SEA_KITTYKAT_40,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210605,-
2794944,63910870,41,KDJ01_gp41,SEA_KITTYKAT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910871,42,KDJ01_gp42,SEA_KITTYKAT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910872,43,KDJ01_gp43,SEA_KITTYKAT_43,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210420,-
2794944,63910873,44,KDJ01_gp44,SEA_KITTYKAT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910874,45,KDJ01_gp45,SEA_KITTYKAT_45,-,-,-,DNA primase/polymerase/helicase,protein-coding,-,-,-,DNA primase/polymerase/helicase,20210605,-
2794944,63910875,46,KDJ01_gp46,SEA_KITTYKAT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910876,48,KDJ01_gp48,SEA_KITTYKAT_48,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210605,-
2794944,63910877,49,KDJ01_gp49,SEA_KITTYKAT_49,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2794944,63910878,50,KDJ01_gp50,SEA_KITTYKAT_50,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210605,-
2794944,63910879,51,KDJ01_gp51,SEA_KITTYKAT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794944,63910880,52,KDJ01_gp52,SEA_KITTYKAT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910881,53,KDJ01_gp53,SEA_KITTYKAT_53,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210605,-
2794944,63910882,54,KDJ01_gp54,SEA_KITTYKAT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910883,55,KDJ01_gp55,SEA_KITTYKAT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910884,56,KDJ01_gp56,SEA_KITTYKAT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910885,57,KDJ01_gp57,SEA_KITTYKAT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910886,58,KDJ01_gp58,SEA_KITTYKAT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910887,59,KDJ01_gp59,SEA_KITTYKAT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2794944,63910888,60,KDJ01_gp60,SEA_KITTYKAT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
