#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340810,18504578,S-MbCM7_002,S-MbCM7_002,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
1340810,18504579,S-MbCM7_003,S-MbCM7_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504580,S-MbCM7_004,S-MbCM7_004,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201221,-
1340810,18504581,S-MbCM7_005,S-MbCM7_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504582,S-MbCM7_006,S-MbCM7_006,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201221,-
1340810,18504583,S-MbCM7_007,S-MbCM7_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504584,S-MbCM7_008,S-MbCM7_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504585,S-MbCM7_009,S-MbCM7_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504586,S-MbCM7_010,S-MbCM7_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504587,S-MbCM7_011,S-MbCM7_011,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20201221,-
1340810,18504588,S-MbCM7_012,S-MbCM7_012,-,-,-,-,putative base plate lysozyme,protein-coding,-,-,-,putative base plate lysozyme,20201221,-
1340810,18504589,S-MbCM7_013,S-MbCM7_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504590,S-MbCM7_014,S-MbCM7_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504591,S-MbCM7_015,S-MbCM7_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504592,S-MbCM7_016,S-MbCM7_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504593,S-MbCM7_017,S-MbCM7_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504594,S-MbCM7_018,S-MbCM7_018,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1340810,18504595,S-MbCM7_019,S-MbCM7_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504596,S-MbCM7_020,S-MbCM7_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504597,S-MbCM7_021,S-MbCM7_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504598,S-MbCM7_022,S-MbCM7_022,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20201221,-
1340810,18504599,S-MbCM7_023,S-MbCM7_023,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20201221,-
1340810,18504600,S-MbCM7_024,S-MbCM7_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504601,S-MbCM7_025,S-MbCM7_025,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1340810,18504602,S-MbCM7_026,S-MbCM7_026,-,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1340810,18504603,S-MbCM7_027,S-MbCM7_027,-,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20201221,-
1340810,18504604,S-MbCM7_028,S-MbCM7_028,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1340810,18504605,S-MbCM7_029,S-MbCM7_029,-,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20201221,-
1340810,18504606,S-MbCM7_030,S-MbCM7_030,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1340810,18504607,S-MbCM7_031,S-MbCM7_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504608,S-MbCM7_032,S-MbCM7_032,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1340810,18504609,S-MbCM7_033,S-MbCM7_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504610,S-MbCM7_034,S-MbCM7_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504611,S-MbCM7_035,S-MbCM7_035,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1340810,18504612,S-MbCM7_036,S-MbCM7_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504613,S-MbCM7_037,S-MbCM7_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504614,S-MbCM7_038,S-MbCM7_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504615,S-MbCM7_039,S-MbCM7_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504616,S-MbCM7_040,S-MbCM7_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504617,S-MbCM7_041,S-MbCM7_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504618,S-MbCM7_042,S-MbCM7_042,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1340810,18504619,S-MbCM7_043,S-MbCM7_043,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20201221,-
1340810,18504620,S-MbCM7_044,S-MbCM7_044,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20201221,-
1340810,18504621,S-MbCM7_045,S-MbCM7_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504622,S-MbCM7_046,S-MbCM7_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504623,S-MbCM7_047,S-MbCM7_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504624,S-MbCM7_048,S-MbCM7_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504625,S-MbCM7_049,S-MbCM7_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504626,S-MbCM7_050,S-MbCM7_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504627,S-MbCM7_051,S-MbCM7_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504628,S-MbCM7_052,S-MbCM7_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504629,S-MbCM7_053,S-MbCM7_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504630,S-MbCM7_054,S-MbCM7_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504631,S-MbCM7_055,S-MbCM7_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504632,S-MbCM7_056,S-MbCM7_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504633,S-MbCM7_057,S-MbCM7_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504634,S-MbCM7_058,S-MbCM7_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504635,S-MbCM7_059,S-MbCM7_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504636,S-MbCM7_060,S-MbCM7_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
