#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327758,16212926,2,LIKA_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1327758,16212927,30,LIKA_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212928,60,LIKA_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212929,29,LIKA_29,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1327758,16212930,68,LIKA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212931,75,LIKA_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212932,27,LIKA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212933,70,LIKA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212934,23,LIKA_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212935,74,LIKA_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212936,42,LIKA_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212937,58,LIKA_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212938,1,LIKA_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212939,43,LIKA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212940,22,LIKA_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212941,21,LIKA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212942,51,LIKA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212943,28,LIKA_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212944,14,LIKA_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212945,8,LIKA_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212946,11,LIKA_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212947,31,LIKA_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212948,33,LIKA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212949,34,LIKA_34,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1327758,16212950,54,LIKA_54,-,-,-,-,DNA polymerase III subunit alpha,protein-coding,-,-,-,DNA polymerase III subunit alpha,20201221,-
1327758,16212951,73,LIKA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212952,6,LIKA_6,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1327758,16212953,18,LIKA_18,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20201221,-
1327758,16212954,38,LIKA_38,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1327758,16212955,5,LIKA_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212956,47,LIKA_47,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1327758,16212957,64,LIKA_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212958,67,LIKA_67,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201221,-
1327758,16212959,52,LIKA_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212960,59,LIKA_59,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20201221,-
1327758,16212961,26,LIKA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212962,48,LIKA_48,-,-,-,-,Lsr2-like protein,protein-coding,-,-,-,Lsr2-like protein,20201221,-
1327758,16212963,40,LIKA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212964,71,LIKA_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212965,9,LIKA_9,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1327758,16212966,45,LIKA_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212967,24,LIKA_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212968,53,LIKA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212969,50,LIKA_50,-,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20201221,-
1327758,16212970,36,LIKA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212971,37,LIKA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212972,35,LIKA_35,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1327758,16212973,7,LIKA_7,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1327758,16212974,25,LIKA_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212975,62,LIKA_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212976,69,LIKA_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212977,49,LIKA_49,-,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201221,-
1327758,16212978,57,LIKA_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212979,16,LIKA_16,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1327758,16212980,13,LIKA_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212981,15,LIKA_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212982,10,LIKA_10,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1327758,16212983,12,LIKA_12,-,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
1327758,16212984,41,LIKA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212985,17,LIKA_17,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1327758,16212986,44,LIKA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212987,39,LIKA_39,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1327758,16212988,56,LIKA_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212989,55,LIKA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212990,66,LIKA_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212991,65,LIKA_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212992,63,LIKA_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212993,19,LIKA_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212994,32,LIKA_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327758,16212995,20,LIKA_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
