#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1868596,29061067,BI094_gp02,BI094_gp02,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20201221,-
1868596,29061068,BI094_gp03,BI094_gp03,-,-,-,-,primosomal replication protein,protein-coding,-,-,-,primosomal replication protein,20200629,-
1868596,29061069,BI094_gp04,BI094_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1868596,29061070,BI094_gp05,BI094_gp05,-,-,-,-,Clp protease ClpP,protein-coding,-,-,-,Clp protease ClpP,20201221,-
1868596,29061071,BI094_gp06,BI094_gp06,-,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20201221,-
1868596,29061072,BI094_gp07,BI094_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061073,BI094_gp08,BI094_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061074,BI094_gp09,BI094_gp09,-,-,-,-,GspH/FimT family pseudopilin,protein-coding,-,-,-,GspH/FimT family pseudopilin,20210424,-
1868596,29061075,BI094_gp10,BI094_gp10,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20200912,-
1868596,29061076,BI094_gp11,BI094_gp11,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20200629,-
1868596,29061077,BI094_gp12,BI094_gp12,-,-,-,-,DUF4124 domain-containing protein,protein-coding,-,-,-,DUF4124 domain-containing protein,20210424,-
1868596,29061078,BI094_gp13,BI094_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061079,BI094_gp14,BI094_gp14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1868596,29061080,BI094_gp15,BI094_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061081,BI094_gp16,BI094_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061082,BI094_gp17,BI094_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061083,BI094_gp18,BI094_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061084,BI094_gp19,BI094_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061085,BI094_gp20,BI094_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061086,BI094_gp21,BI094_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061087,BI094_gp22,BI094_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061088,BI094_gp23,BI094_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061089,BI094_gp24,BI094_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061090,BI094_gp25,BI094_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061091,BI094_gp26,BI094_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061092,BI094_gp27,BI094_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061093,BI094_gp28,BI094_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061094,BI094_gp29,BI094_gp29,-,-,-,-,DUF2335 domain-containing protein,protein-coding,-,-,-,DUF2335 domain-containing protein,20201221,-
1868596,29061095,BI094_gp30,BI094_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061096,BI094_gp31,BI094_gp31,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1868596,29061097,BI094_gp32,BI094_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061098,BI094_gp33,BI094_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061099,BI094_gp34,BI094_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061100,BI094_gp35,BI094_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061101,BI094_gp36,BI094_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061102,BI094_gp37,BI094_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061103,BI094_gp38,BI094_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061104,BI094_gp39,BI094_gp39,-,-,-,-,DUF550 domain-containing protein,protein-coding,-,-,-,DUF550 domain-containing protein,20201221,-
1868596,29061105,BI094_gp40,BI094_gp40,-,-,-,-,DUF4406 domain-containing protein,protein-coding,-,-,-,DUF4406 domain-containing protein,20201221,-
1868596,29061106,BI094_gp41,BI094_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
