#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1495285,19485174,e112_026,e112_026,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
1495285,19485175,e112_027,e112_027,-,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20200629,-
1495285,19485176,e112_028,e112_028,-,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20200629,-
1495285,19485177,e112_029,e112_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485178,e112_030,e112_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485179,e112_031,e112_031,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210123,-
1495285,19485180,e112_032,e112_032,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20200629,-
1495285,19485181,e112_033,e112_033,-,-,-,-,Dam family site-specific DNA-(adenine-N6)-methyltransferase,protein-coding,-,-,-,Dam family site-specific DNA-(adenine-N6)-methyltransferase,20210212,-
1495285,19485182,e112_034,e112_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485183,e112_035,e112_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485184,e112_036,e112_036,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200629,-
1495285,19485185,e112_037,e112_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1495285,19485186,e112_038,e112_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485187,e112_039,e112_039,-,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20200629,-
1495285,19485188,e112_040,e112_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485189,e112_041,e112_041,-,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20200629,-
1495285,19485190,e112_042,e112_042,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1495285,19485191,e112_043,e112_043,-,-,-,-,gp40 head vertex assembly chaperone,protein-coding,-,-,-,gp40 head vertex assembly chaperone,20201221,-
1495285,19485192,e112_044,e112_044,-,-,-,-,RecA-like recombinase protein,protein-coding,-,-,-,RecA-like recombinase protein,20210129,-
1495285,19485193,e112_045,e112_045,-,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20200629,-
1495285,19485194,e112_046,e112_046,-,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210123,-
1495285,19485195,e112_047,e112_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485196,e112_048,e112_048,-,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210129,-
1495285,19485197,e112_049,e112_049,-,-,-,-,putativel membrane protein,protein-coding,-,-,-,putativel membrane protein,20200629,-
1495285,19485198,e112_050,e112_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485199,e112_051,e112_051,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1495285,19485200,e112_052,e112_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485201,e112_053,e112_053,-,-,-,-,translational repressor RegA,protein-coding,-,-,-,translational repressor RegA,20210212,-
1495285,19485202,e112_054,e112_054,-,-,-,-,DNA polymerase clamp loader subunit A,protein-coding,-,-,-,DNA polymerase clamp loader subunit A,20201221,-
1495285,19485203,e112_055,e112_055,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1495285,19485204,e112_056,e112_056,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200629,-
1495285,19485205,e112_057,e112_057,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200629,-
1495285,19485206,e112_058,e112_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485207,e112_059,e112_059,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200926,-
1495285,19485208,e112_060,e112_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485209,e112_061,e112_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485210,e112_062,e112_062,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
1495285,19485211,e112_063,e112_063,-,-,-,-,alpha-glucosyltransferase,protein-coding,-,-,-,alpha-glucosyltransferase,20200629,-
1495285,19485212,e112_064,e112_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485213,e112_065,e112_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485214,e112_066,e112_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485215,e112_067,e112_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485216,e112_068,e112_068,-,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20200629,-
1495285,19485217,e112_069,e112_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485218,e112_070,e112_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485219,e112_071,e112_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485220,e112_072,e112_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1495285,19485221,e112_073,e112_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485222,e112_074,e112_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485223,e112_075,e112_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485224,e112_076,e112_076,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210123,-
1495285,19485225,e112_077,e112_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485226,e112_078,e112_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485227,e112_079,e112_079,-,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20200629,-
1495285,19485228,e112_080,e112_080,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200629,-
1495285,19485229,e112_081,e112_081,-,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20200629,-
1495285,19485230,e112_082,e112_082,-,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20201221,-
1495285,19485231,e112_083,e112_083,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20200629,-
1495285,19485232,e112_084,e112_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485233,e112_085,e112_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485234,e112_086,e112_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485235,e112_087,e112_087,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200629,-
1495285,19485236,e112_088,e112_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485237,e112_089,e112_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485238,e112_090,e112_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485239,e112_091,e112_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485240,e112_092,e112_092,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200629,-
1495285,19485241,e112_093,e112_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485242,e112_094,e112_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485243,e112_095,e112_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485244,e112_096,e112_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485245,e112_097,e112_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485246,e112_098,e112_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485247,e112_099,e112_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485248,e112_100,e112_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485249,e112_101,e112_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485250,e112_102,e112_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485251,e112_103,e112_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485252,e112_104,e112_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485253,e112_105,e112_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485254,e112_106,e112_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485255,e112_107,e112_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485256,e112_108,e112_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485257,e112_109,e112_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485258,e112_110,e112_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485259,e112_111,e112_111,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
1495285,19485260,e112_112,e112_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485261,e112_113,e112_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485262,e112_114,e112_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485263,e112_115,e112_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
