#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1555233,26624246,2,AVV74_gp02,PBI_CARCHARODON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1555233,26624247,3,AVV74_gp03,PBI_CARCHARODON_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624248,4,AVV74_gp04,PBI_CARCHARODON_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1555233,26624249,5,AVV74_gp05,PBI_CARCHARODON_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1555233,26624250,6,AVV74_gp06,PBI_CARCHARODON_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1555233,26624251,7,AVV74_gp07,PBI_CARCHARODON_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624252,8,AVV74_gp08,PBI_CARCHARODON_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1555233,26624253,9,AVV74_gp09,PBI_CARCHARODON_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1555233,26624254,10,AVV74_gp10,PBI_CARCHARODON_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624255,11,AVV74_gp11,PBI_CARCHARODON_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624256,12,AVV74_gp12,PBI_CARCHARODON_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1555233,26624257,13,AVV74_gp13,PBI_CARCHARODON_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1555233,26624258,15,AVV74_gp14,PBI_CARCHARODON_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1555233,26624259,16,AVV74_gp16,PBI_CARCHARODON_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1555233,26624260,14,AVV74_gp15,PBI_CARCHARODON_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1555233,26624261,17,AVV74_gp17,PBI_CARCHARODON_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1555233,26624262,18,AVV74_gp18,PBI_CARCHARODON_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1555233,26624263,19,AVV74_gp19,PBI_CARCHARODON_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1555233,26624264,20,AVV74_gp20,PBI_CARCHARODON_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1555233,26624265,21,AVV74_gp21,PBI_CARCHARODON_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624266,22,AVV74_gp22,PBI_CARCHARODON_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624267,23,AVV74_gp23,PBI_CARCHARODON_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624268,24,AVV74_gp24,PBI_CARCHARODON_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624269,25,AVV74_gp25,PBI_CARCHARODON_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624270,26,AVV74_gp26,PBI_CARCHARODON_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624271,27,AVV74_gp27,PBI_CARCHARODON_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1555233,26624272,28,AVV74_gp28,PBI_CARCHARODON_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1555233,26624273,29,AVV74_gp29,PBI_CARCHARODON_29,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1555233,26624274,30,AVV74_gp30,PBI_CARCHARODON_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1555233,26624275,31,AVV74_gp31,PBI_CARCHARODON_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624276,32,AVV74_gp32,PBI_CARCHARODON_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624277,33,AVV74_gp33,PBI_CARCHARODON_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624278,34,AVV74_gp34,PBI_CARCHARODON_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624279,35,AVV74_gp35,PBI_CARCHARODON_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1555233,26624280,36,AVV74_gp36,PBI_CARCHARODON_36,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
1555233,26624281,37,AVV74_gp37,PBI_CARCHARODON_37,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
1555233,26624282,38,AVV74_gp38,PBI_CARCHARODON_38,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
1555233,26624283,39,AVV74_gp39,PBI_CARCHARODON_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
