#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
28901,2829119,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus cholerae-suis; Salmonella cholerae-suis; Salmonella choleraesuis; Salmonella enterica ser. choleraesuis.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210313,-
28901,39463897,FORC78_RS23725,FORC78_RS23725,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
28901,39463898,FORC78_RS23720,FORC78_RS23720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
28901,39463899,FORC78_RS23715,FORC78_RS23715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
28901,39463912,FORC78_RS23650,FORC78_RS23650,FORC78_p060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39463916,FORC78_RS23630,FORC78_RS23630,FORC78_p056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39463928,FORC78_RS23570,FORC78_RS23570,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39463938,FORC78_RS23520,FORC78_RS23520,FORC78_p032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
28901,39463952,FORC78_RS23450,FORC78_RS23450,FORC78_p016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39691052,CHD54_RS22895,CHD54_RS22895,CHD54_23335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691053,CHD54_RS22900,CHD54_RS22900,CHD54_23340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28901,39691054,CHD54_RS22905,CHD54_RS22905,CHD54_23345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691067,CHD54_RS22970,CHD54_RS22970,CHD54_23410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
28901,39691069,CHD54_RS22980,CHD54_RS22980,CHD54_23420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691074,CHD54_RS23010,CHD54_RS23010,CHD54_23450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691076,CHD54_RS23030,CHD54_RS23030,CHD54_23475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691078,CHD54_RS22875,CHD54_RS22875,CHD54_23315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691086,CHD54_RS22840,CHD54_RS22840,CHD54_23280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
28901,39691089,CHD54_RS23020,CHD54_RS23020,CHD54_23465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691091,CHD54_RS23035,CHD54_RS23035,CHD54_23480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691093,CHD54_RS22835,CHD54_RS22835,CHD54_23275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691094,CHD54_RS23015,CHD54_RS23015,CHD54_23460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691096,CHD54_RS22790,CHD54_RS22790,CHD54_23230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691098,CHD54_RS22880,CHD54_RS22880,CHD54_23320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691100,CHD54_RS22885,CHD54_RS22885,CHD54_23325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691133,FORC30_RS25230,FORC30_RS25230,FORC30_p074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39691144,FORC30_RS25275,FORC30_RS25275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691158,FORC30_RS25030,FORC30_RS25030,FORC30_p026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39691185,FORC30_RS24960,FORC30_RS24960,FORC30_p003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
28901,39691200,FORC30_RS25090,FORC30_RS25090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39691204,FORC30_RS25280,FORC30_RS25280,FORC30_p086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39691215,FORC30_RS25505,FORC30_RS25505,FORC30_p142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
28901,39816984,EIP70_RS25690,EIP70_RS25690,EIP70_26005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39816985,EIP70_RS25595,EIP70_RS25595,EIP70_25910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39816988,EIP70_RS25655,EIP70_RS25655,EIP70_25970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
28901,39816989,EIP70_RS25570,EIP70_RS25570,EIP70_25885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190424,-
28901,39816990,EIP70_RS25600,EIP70_RS25600,EIP70_25915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190424,-
28901,39816991,EIP70_RS25645,EIP70_RS25645,EIP70_25960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190604,-
28901,39816992,EIP70_RS25625,EIP70_RS25625,EIP70_25940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39816993,EIP70_RS25650,EIP70_RS25650,EIP70_25965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39816994,EIP70_RS25605,EIP70_RS25605,EIP70_25920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39816995,EIP70_RS25710,EIP70_RS25710,EIP70_26025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190424,-
28901,39816996,EIP70_RS25675,EIP70_RS25675,EIP70_25990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39816997,EIP70_RS25610,EIP70_RS25610,EIP70_25925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190424,-
28901,39816999,EIP70_RS25640,EIP70_RS25640,EIP70_25955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
28901,39817000,EIP70_RS25685,EIP70_RS25685,EIP70_26000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39817001,EIP70_RS25660,EIP70_RS25660,EIP70_25975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39817003,EIP70_RS25630,EIP70_RS25630,EIP70_25945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39817006,EIP70_RS25590,EIP70_RS25590,EIP70_25905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39817007,EIP70_RS25670,EIP70_RS25670,EIP70_25985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
28901,39817008,EIP70_RS25580,EIP70_RS25580,EIP70_25895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
28901,39817009,EIP70_RS25585,EIP70_RS25585,EIP70_25900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190424,-
28901,39817010,EIP70_RS25695,EIP70_RS25695,EIP70_26010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
