#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1414737,18479618,CC53_gp002,CC53_gp002,L338C_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1414737,18479619,CC53_gp003,CC53_gp003,L338C_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479620,CC53_gp004,CC53_gp004,L338C_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479621,CC53_gp005,CC53_gp005,L338C_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479622,CC53_gp006,CC53_gp006,L338C_006,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,20210424,-
1414737,18479623,CC53_gp007,CC53_gp007,L338C_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479624,CC53_gp008,CC53_gp008,L338C_008,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210424,-
1414737,18479625,CC53_gp009,CC53_gp009,L338C_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479626,CC53_gp010,CC53_gp010,L338C_010,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1414737,18479627,CC53_gp011,CC53_gp011,L338C_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479628,CC53_gp012,CC53_gp012,L338C_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479629,CC53_gp013,CC53_gp013,L338C_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479630,CC53_gp014,CC53_gp014,L338C_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479631,CC53_gp015,CC53_gp015,L338C_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479632,CC53_gp016,CC53_gp016,L338C_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479633,CC53_gp017,CC53_gp017,L338C_017,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1414737,18479634,CC53_gp018,CC53_gp018,L338C_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479635,CC53_gp019,CC53_gp019,L338C_019,-,-,-,phage head morphogenesis protein,protein-coding,-,-,-,phage head morphogenesis protein,20201221,-
1414737,18479636,CC53_gp020,CC53_gp020,L338C_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479637,CC53_gp021,CC53_gp021,L338C_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
