#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540098,24608613,CPT_Seurat2,CPT_Seurat2,-,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1540098,24608614,CPT_Seurat3,CPT_Seurat3,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1540098,24608615,CPT_Seurat4,CPT_Seurat4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608616,CPT_Seurat5,CPT_Seurat5,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1540098,24608617,CPT_Seurat6,CPT_Seurat6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608618,CPT_Seurat7,CPT_Seurat7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608619,CPT_Seurat8,CPT_Seurat8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608620,CPT_Seurat9,CPT_Seurat9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608621,CPT_Seurat10,CPT_Seurat10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608622,CPT_Seurat11,CPT_Seurat11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608623,CPT_Seurat12,CPT_Seurat12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608624,CPT_Seurat13,CPT_Seurat13,-,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20201221,-
1540098,24608625,CPT_Seurat14,CPT_Seurat14,-,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20201221,-
1540098,24608626,CPT_Seurat15,CPT_Seurat15,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1540098,24608627,CPT_Seurat16,CPT_Seurat16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608628,CPT_Seurat17,CPT_Seurat17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608629,CPT_Seurat18,CPT_Seurat18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608630,CPT_Seurat19,CPT_Seurat19,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1540098,24608631,CPT_Seurat20,CPT_Seurat20,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20201221,-
1540098,24608632,CPT_Seurat21,CPT_Seurat21,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1540098,24608633,CPT_Seurat22,CPT_Seurat22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
