#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887653,40071789,2,FDH03_gp002,SEA_STROSAHL_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20200910,-
1887653,40071790,3,FDH03_gp003,SEA_STROSAHL_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071791,4,FDH03_gp004,SEA_STROSAHL_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1887653,40071792,5,FDH03_gp005,SEA_STROSAHL_5,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1887653,40071793,6,FDH03_gp006,SEA_STROSAHL_6,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1887653,40071794,7,FDH03_gp007,SEA_STROSAHL_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071795,8,FDH03_gp008,SEA_STROSAHL_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071796,9,FDH03_gt001,SEA_STROSAHL_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887653,40071797,10,FDH03_gt002,SEA_STROSAHL_10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887653,40071798,11,FDH03_gt003,SEA_STROSAHL_11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887653,40071799,12,FDH03_gp098,SEA_STROSAHL_12,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
1887653,40071800,1,FDH03_gp001,SEA_STROSAHL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887653,40071801,13,FDH03_gp097,SEA_STROSAHL_13,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1887653,40071802,14,FDH03_gp096,SEA_STROSAHL_14,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1887653,40071803,15,FDH03_gp095,SEA_STROSAHL_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1887653,40071804,16,FDH03_gp094,SEA_STROSAHL_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
