#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445728,18504038,2,PBI_SAAL_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1445728,18504039,3,PBI_SAAL_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1445728,18504040,4,PBI_SAAL_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1445728,18504041,5,PBI_SAAL_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
1445728,18504042,6,PBI_SAAL_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1445728,18504043,7,PBI_SAAL_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200629,-
1445728,18504044,8,PBI_SAAL_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200629,-
1445728,18504045,9,PBI_SAAL_9,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210406,-
1445728,18504046,10,PBI_SAAL_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200629,-
1445728,18504047,11,PBI_SAAL_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200629,-
1445728,18504048,13,PBI_SAAL_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1445728,18504049,14,PBI_SAAL_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200629,-
1445728,18504050,12,PBI_SAAL_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1445728,18504051,15,PBI_SAAL_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1445728,18504052,16,PBI_SAAL_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1445728,18504053,17,PBI_SAAL_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1445728,18504054,18,PBI_SAAL_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1445728,18504055,19,PBI_SAAL_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
1445728,18504056,20,PBI_SAAL_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
1445728,18504057,21,PBI_SAAL_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504058,22,PBI_SAAL_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504059,23,PBI_SAAL_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1445728,18504060,24,PBI_SAAL_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1445728,18504061,25,PBI_SAAL_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504062,26,PBI_SAAL_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504063,27,PBI_SAAL_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504064,28,PBI_SAAL_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504065,29,PBI_SAAL_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504066,30,PBI_SAAL_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200629,-
1445728,18504067,31,PBI_SAAL_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200629,-
1445728,18504068,32,PBI_SAAL_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1445728,18504069,33,PBI_SAAL_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1445728,18504070,34,PBI_SAAL_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504071,35,PBI_SAAL_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210123,-
1445728,18504072,36,PBI_SAAL_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504073,37,PBI_SAAL_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504074,38,PBI_SAAL_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504075,39,PBI_SAAL_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504076,40,PBI_SAAL_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504077,41,PBI_SAAL_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504078,42,PBI_SAAL_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504079,43,PBI_SAAL_43,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
1445728,18504080,44,PBI_SAAL_44,-,-,-,-,toxin in toxin/antitoxin system (RelE-like),protein-coding,-,-,-,toxin in toxin/antitoxin system (RelE-like),20200629,-
1445728,18504081,45,PBI_SAAL_45,-,-,-,-,antitoxin in toxin/antitoxin system (RelB-like),protein-coding,-,-,-,antitoxin in toxin/antitoxin system (RelB-like),20200629,-
1445728,18504082,46,PBI_SAAL_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504083,47,PBI_SAAL_47,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200629,-
1445728,18504084,48,PBI_SAAL_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504085,49,PBI_SAAL_49,-,-,-,-,phage antirepressor,protein-coding,-,-,-,phage antirepressor,20210123,-
1445728,18504086,50,PBI_SAAL_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504087,51,PBI_SAAL_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504088,52,PBI_SAAL_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504089,53,PBI_SAAL_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504090,54,PBI_SAAL_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504091,55,PBI_SAAL_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504092,56,PBI_SAAL_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504093,57,PBI_SAAL_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504094,58,PBI_SAAL_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1445728,18504095,59,PBI_SAAL_59,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210406,-
1445728,18504096,60,PBI_SAAL_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504097,61,PBI_SAAL_61,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1445728,18504098,62,PBI_SAAL_62,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210424,-
1445728,18504099,63,PBI_SAAL_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504100,64,PBI_SAAL_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504101,65,PBI_SAAL_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504102,66,PBI_SAAL_66,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20210424,-
1445728,18504103,67,PBI_SAAL_67,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1445728,18504104,68,PBI_SAAL_68,-,-,-,-,DNA helicase/methylase,protein-coding,-,-,-,DNA helicase/methylase,20210424,-
1445728,18504105,69,PBI_SAAL_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504106,70,PBI_SAAL_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504107,71,PBI_SAAL_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504108,72,PBI_SAAL_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504109,73,PBI_SAAL_73,-,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20200629,-
1445728,18504110,74,PBI_SAAL_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504111,75,PBI_SAAL_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504112,76,PBI_SAAL_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504113,77,PBI_SAAL_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504114,78,PBI_SAAL_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504115,79,PBI_SAAL_79,-,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20200629,-
1445728,18504116,80,PBI_SAAL_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504117,81,PBI_SAAL_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504118,82,PBI_SAAL_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504119,83,PBI_SAAL_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504120,84,PBI_SAAL_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504121,85,PBI_SAAL_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504122,86,PBI_SAAL_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504123,87,PBI_SAAL_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1445728,18504124,88,PBI_SAAL_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504125,89,PBI_SAAL_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1445728,18504126,90,PBI_SAAL_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504127,91,PBI_SAAL_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504128,92,PBI_SAAL_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504129,93,PBI_SAAL_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
