#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673835,8676702,gp02,EP-phiFL2A_gp02,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201220,-
673835,8676703,gp03,EP-phiFL2A_gp03,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
673835,8676704,gp04,EP-phiFL2A_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676705,gp05,EP-phiFL2A_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676706,gp06,EP-phiFL2A_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676707,gp07,EP-phiFL2A_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676708,gp08,EP-phiFL2A_gp08,-,-,-,-,anti-repressor protein,protein-coding,-,-,-,anti-repressor protein,20200629,-
673835,8676709,gp09,EP-phiFL2A_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676710,gp10,EP-phiFL2A_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676711,gp11,EP-phiFL2A_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676712,gp12,EP-phiFL2A_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676713,gp13,EP-phiFL2A_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676714,gp14,EP-phiFL2A_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676715,gp15,EP-phiFL2A_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676716,gp16,EP-phiFL2A_gp16,-,-,-,-,endonuclease YqaJ superfamily,protein-coding,-,-,-,endonuclease YqaJ superfamily,20200629,-
673835,8676717,gp17,EP-phiFL2A_gp17,-,-,-,-,endonuclease YqaJ superfamily,protein-coding,-,-,-,endonuclease YqaJ superfamily,20200629,-
673835,8676718,gp18,EP-phiFL2A_gp18,-,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20210123,-
673835,8676719,gp19,EP-phiFL2A_gp19,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20200629,-
673835,8676720,gp20,EP-phiFL2A_gp20,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20200629,-
673835,8676721,gp21,EP-phiFL2A_gp21,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200629,-
673835,8676722,gp22,EP-phiFL2A_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676723,gp23,EP-phiFL2A_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676724,gp24,EP-phiFL2A_gp24,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20200629,-
673835,8676725,gp25,EP-phiFL2A_gp25,-,-,-,-,PcfU,protein-coding,-,-,-,PcfU,20200629,-
673835,8676726,gp26,EP-phiFL2A_gp26,-,-,-,-,YopX superfamily protein,protein-coding,-,-,-,YopX superfamily protein,20200629,-
673835,8676727,gp27,EP-phiFL2A_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676728,gp28,EP-phiFL2A_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676729,gp29,EP-phiFL2A_gp29,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201220,-
673835,8676730,gp30,EP-phiFL2A_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676731,gp31,EP-phiFL2A_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676732,gp32,EP-phiFL2A_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676733,gp33,EP-phiFL2A_gp33,-,-,-,-,transcriptional regulator protein ArpU superfamily,protein-coding,-,-,-,transcriptional regulator protein ArpU superfamily,20200629,-
673835,8676734,gp34,EP-phiFL2A_gp34,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
673835,8676735,gp35,EP-phiFL2A_gp35,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
673835,8676736,gp36,EP-phiFL2A_gp36,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
673835,8676737,gp37,EP-phiFL2A_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676738,gp38,EP-phiFL2A_gp38,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
673835,8676739,gp39,EP-phiFL2A_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676740,gp40,EP-phiFL2A_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676741,gp41,EP-phiFL2A_gp41,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200629,-
673835,8676742,gp42,EP-phiFL2A_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676743,gp43,EP-phiFL2A_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676744,gp44,EP-phiFL2A_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676745,gp45,EP-phiFL2A_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676746,gp46,EP-phiFL2A_gp46,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201220,-
673835,8676747,gp47,EP-phiFL2A_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676748,gp48,EP-phiFL2A_gp48,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
673835,8676749,gp49,EP-phiFL2A_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676750,gp50,EP-phiFL2A_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
