#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1416030,20282719,LA65_gp53,LA65_gp53,AHS24_53,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1416030,20282720,LA65_gp02,LA65_gp02,AHS24_02,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1416030,20282721,LA65_gp03,LA65_gp03,AHS24_03,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
1416030,20282722,LA65_gp04,LA65_gp04,AHS24_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1416030,20282723,LA65_gp05,LA65_gp05,AHS24_05,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200910,-
1416030,20282724,LA65_gp06,LA65_gp06,AHS24_06,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200910,-
1416030,20282725,LA65_gp07,LA65_gp07,AHS24_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282726,LA65_gp08,LA65_gp08,AHS24_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282727,LA65_gp09,LA65_gp09,AHS24_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282728,LA65_gp10,LA65_gp10,AHS24_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1416030,20282729,LA65_gp11,LA65_gp11,AHS24_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282730,LA65_gp12,LA65_gp12,AHS24_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1416030,20282731,LA65_gp13,LA65_gp13,AHS24_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282732,LA65_gp14,LA65_gp14,AHS24_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282733,LA65_gp15,LA65_gp15,AHS24_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1416030,20282734,LA65_gp16,LA65_gp16,AHS24_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
1416030,20282735,LA65_gp17,LA65_gp17,AHS24_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
