#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821558,29065684,2,SEA_NYMPHADORA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821558,29065685,3,SEA_NYMPHADORA_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065686,4,SEA_NYMPHADORA_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1821558,29065687,5,SEA_NYMPHADORA_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821558,29065688,6,SEA_NYMPHADORA_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1821558,29065689,7,SEA_NYMPHADORA_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821558,29065690,8,SEA_NYMPHADORA_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821558,29065691,9,SEA_NYMPHADORA_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1821558,29065692,10,SEA_NYMPHADORA_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065693,11,SEA_NYMPHADORA_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1821558,29065694,12,SEA_NYMPHADORA_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1821558,29065695,13,SEA_NYMPHADORA_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065696,15,SEA_NYMPHADORA_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065697,16,SEA_NYMPHADORA_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065698,14,SEA_NYMPHADORA_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065699,17,SEA_NYMPHADORA_17,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1821558,29065700,18,SEA_NYMPHADORA_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821558,29065701,19,SEA_NYMPHADORA_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065702,20,SEA_NYMPHADORA_20,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1821558,29065703,21,SEA_NYMPHADORA_21,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1821558,29065704,22,SEA_NYMPHADORA_22,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821558,29065705,23,SEA_NYMPHADORA_23,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821558,29065706,24,SEA_NYMPHADORA_24,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821558,29065707,25,SEA_NYMPHADORA_25,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1821558,29065708,26,SEA_NYMPHADORA_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821558,29065709,27,SEA_NYMPHADORA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065710,28,SEA_NYMPHADORA_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821558,29065711,29,SEA_NYMPHADORA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065712,30,SEA_NYMPHADORA_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
