#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301662,55810694,HYP70_gp002,HYP70_gp002,KARL1_02,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200704,-
2301662,55810695,HYP70_gp003,HYP70_gp003,KARL1_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810696,HYP70_gp004,HYP70_gp004,KARL1_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810697,HYP70_gp005,HYP70_gp005,KARL1_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810698,HYP70_gp006,HYP70_gp006,KARL1_06,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2301662,55810699,HYP70_gp007,HYP70_gp007,KARL1_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810700,HYP70_gp008,HYP70_gp008,KARL1_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810701,HYP70_gp009,HYP70_gp009,KARL1_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810702,HYP70_gp010,HYP70_gp010,KARL1_10,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210403,-
2301662,55810703,HYP70_gp011,HYP70_gp011,KARL1_11,-,-,-,cef,protein-coding,-,-,-,cef,20200704,-
2301662,55810704,HYP70_gp012,HYP70_gp012,KARL1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810705,HYP70_gp013,HYP70_gp013,KARL1_13,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20210403,-
2301662,55810706,HYP70_gp014,HYP70_gp014,KARL1_14,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210424,-
2301662,55810707,HYP70_gp015,HYP70_gp015,KARL1_15,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210424,-
2301662,55810708,HYP70_gp016,HYP70_gp016,KARL1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810709,HYP70_gp017,HYP70_gp017,KARL1_17,-,-,-,DNA topoisomerase II large subunit C-terminal region,protein-coding,-,-,-,DNA topoisomerase II large subunit C-terminal region,20210417,-
2301662,55810710,HYP70_gp018,HYP70_gp018,KARL1_18,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210417,-
2301662,55810711,HYP70_gp019,HYP70_gp019,KARL1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810712,HYP70_gp020,HYP70_gp020,KARL1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810713,HYP70_gp021,HYP70_gp021,KARL1_21,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210424,-
2301662,55810714,HYP70_gp022,HYP70_gp022,KARL1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810715,HYP70_gp023,HYP70_gp023,KARL1_23,-,-,-,putative quaternary ammonium compound-resistance protein qacE,protein-coding,-,-,-,putative quaternary ammonium compound-resistance protein qacE,20210424,-
2301662,55810716,HYP70_gp024,HYP70_gp024,KARL1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810717,HYP70_gp025,HYP70_gp025,KARL1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810718,HYP70_gp026,HYP70_gp026,KARL1_26,-,-,-,putative glutathionylspermidine synthase,protein-coding,-,-,-,putative glutathionylspermidine synthase,20210424,-
2301662,55810719,HYP70_gp027,HYP70_gp027,KARL1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810720,HYP70_gp028,HYP70_gp028,KARL1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810721,HYP70_gp029,HYP70_gp029,KARL1_29,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20210424,-
2301662,55810722,HYP70_gp030,HYP70_gp030,KARL1_30,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20200704,-
2301662,55810723,HYP70_gp031,HYP70_gp031,KARL1_31,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200704,-
2301662,55810724,HYP70_gp032,HYP70_gp032,KARL1_32,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200801,-
2301662,55810725,HYP70_gp033,HYP70_gp033,KARL1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
