#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204524,13826647,phiHau3_2,phiHau3_2,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204524,13826648,phiHau3_3,phiHau3_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826649,phiHau3_3.1,phiHau3_3.1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826650,phiHau3_4,phiHau3_4,-,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200909,-
1204524,13826651,phiHau3_5,phiHau3_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826652,phiHau3_9,phiHau3_9,-,-,-,-,putative portal,protein-coding,-,-,-,putative portal,20200909,-
1204524,13826653,phiHau3_10,phiHau3_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826654,phiHau3_11,phiHau3_11,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20200909,-
1204524,13826655,phiHau3_12,phiHau3_12,-,-,-,-,putative major capsid,protein-coding,-,-,-,putative major capsid,20200909,-
1204524,13826656,phiHau3_13,phiHau3_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826657,phiHau3_14,phiHau3_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826658,phiHau3_15,phiHau3_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826659,phiHau3_16,phiHau3_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826660,phiHau3_17,phiHau3_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826661,phiHau3_20,phiHau3_20,-,-,-,-,putative tail tape measure,protein-coding,-,-,-,putative tail tape measure,20200909,-
1204524,13826662,phiHau3_21,phiHau3_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826663,phiHau3_22,phiHau3_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826664,phiHau3_23,phiHau3_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826665,phiHau3_24,phiHau3_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826666,phiHau3_25,phiHau3_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826667,phiHau3_26,phiHau3_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826668,phiHau3_27,phiHau3_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826669,phiHau3_28,phiHau3_28,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200909,-
1204524,13826670,phiHau3_29,phiHau3_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826671,phiHau3_30,phiHau3_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826672,phiHau3_31,phiHau3_31,-,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20200909,-
1204524,13826673,phiHau3_32,phiHau3_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826674,phiHau3_33,phiHau3_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826675,phiHau3_34,phiHau3_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826676,phiHau3_35,phiHau3_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826677,phiHau3_36,phiHau3_36,-,-,-,-,putative dCMP deaminase,protein-coding,-,-,-,putative dCMP deaminase,20200909,-
1204524,13826678,phiHau3_37,phiHau3_37,-,-,-,-,putative primase helicase,protein-coding,-,-,-,putative primase helicase,20200909,-
1204524,13826679,phiHau3_38,phiHau3_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826680,phiHau3_39,phiHau3_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826681,phiHau3_40,phiHau3_40,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20200909,-
1204524,13826682,phiHau3_41,phiHau3_41,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20200909,-
1204524,13826683,phiHau3_42,phiHau3_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
