#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1551641,22475076,pSs1_002,pSs1_002,-,-,-,-,DNA topisomerase II medium subunit,protein-coding,-,-,-,DNA topisomerase II medium subunit,20201221,-
1551641,22475077,pSs1_003,pSs1_003,-,-,-,-,gp3,protein-coding,-,-,-,gp3,20200629,-
1551641,22475078,pSs1_004,pSs1_004,-,-,-,-,gp4,protein-coding,-,-,-,gp4,20200629,-
1551641,22475079,pSs1_005,pSs1_005,-,-,-,-,gp5,protein-coding,-,-,-,gp5,20200629,-
1551641,22475080,pSs1_006,pSs1_006,-,-,-,-,gp6,protein-coding,-,-,-,gp6,20200629,-
1551641,22475081,pSs1_007,pSs1_007,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20200629,-
1551641,22475082,pSs1_008,pSs1_008,-,-,-,-,gp8,protein-coding,-,-,-,gp8,20200629,-
1551641,22475083,pSs1_009,pSs1_009,-,-,-,-,gp9,protein-coding,-,-,-,gp9,20200629,-
1551641,22475084,pSs1_0010,pSs1_0010,-,-,-,-,gp11,protein-coding,-,-,-,gp11,20200629,-
1551641,22475085,pSs1_0011,pSs1_0011,-,-,-,-,gp12,protein-coding,-,-,-,gp12,20200629,-
1551641,22475086,pSs1_0012,pSs1_0012,-,-,-,-,gp13,protein-coding,-,-,-,gp13,20200629,-
1551641,22475087,pSs1_0013,pSs1_0013,-,-,-,-,gp14,protein-coding,-,-,-,gp14,20200629,-
1551641,22475088,pSs1_0014,pSs1_0014,-,-,-,-,gp15,protein-coding,-,-,-,gp15,20200905,-
1551641,22475089,pSs1_0015,pSs1_0015,-,-,-,-,gp16,protein-coding,-,-,-,gp16,20200629,-
1551641,22475090,pSs1_0016,pSs1_0016,-,-,-,-,gp17,protein-coding,-,-,-,gp17,20210129,-
1551641,22475091,pSs1_0017,pSs1_0017,-,-,-,-,gp18,protein-coding,-,-,-,gp18,20200629,-
1551641,22475092,pSs1_0018,pSs1_0018,-,-,-,-,gp19,protein-coding,-,-,-,gp19,20200629,-
1551641,22475093,pSs1_0019,pSs1_0019,-,-,-,-,gp20,protein-coding,-,-,-,gp20,20200629,-
1551641,22475094,pSs1_0020,pSs1_0020,-,-,-,-,gp21,protein-coding,-,-,-,gp21,20200629,-
1551641,22475095,pSs1_0021,pSs1_0021,-,-,-,-,gp22,protein-coding,-,-,-,gp22,20200629,-
1551641,22475096,pSs1_0022,pSs1_0022,-,-,-,-,gp23,protein-coding,-,-,-,gp23,20200629,-
1551641,22475097,pSs1_0023,pSs1_0023,-,-,-,-,gp24,protein-coding,-,-,-,gp24,20200629,-
1551641,22475098,pSs1_0024,pSs1_0024,-,-,-,-,gp25,protein-coding,-,-,-,gp25,20200629,-
1551641,22475099,pSs1_0025,pSs1_0025,-,-,-,-,gp26,protein-coding,-,-,-,gp26,20200629,-
1551641,22475100,pSs1_0026,pSs1_0026,-,-,-,-,gp27,protein-coding,-,-,-,gp27,20200629,-
1551641,22475101,pSs1_0027,pSs1_0027,-,-,-,-,gp28,protein-coding,-,-,-,gp28,20200629,-
1551641,22475102,pSs1_0028,pSs1_0028,-,-,-,-,dextranase,protein-coding,-,-,-,dextranase,20201221,-
1551641,22475103,pSs1_0029,pSs1_0029,-,-,-,-,gp30,protein-coding,-,-,-,gp30,20200629,-
1551641,22475104,pSs1_0030,pSs1_0030,-,-,-,-,gp31,protein-coding,-,-,-,gp31,20210424,-
1551641,22475105,pSs1_0031,pSs1_0031,-,-,-,-,gp32,protein-coding,-,-,-,gp32,20200629,-
1551641,22475106,pSs1_0032,pSs1_0032,-,-,-,-,gp33,protein-coding,-,-,-,gp33,20200629,-
1551641,22475107,pSs1_0033,pSs1_0033,-,-,-,-,gp34,protein-coding,-,-,-,gp34,20200629,-
1551641,22475108,pSs1_0034,pSs1_0034,-,-,-,-,gp35,protein-coding,-,-,-,gp35,20200629,-
