#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675606,40069355,FDG88_gp001,FDG88_gp001,CPT_Murica1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
1675606,40069356,FDG88_gp002,FDG88_gp002,CPT_Murica2,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210123,-
1675606,40069357,FDG88_gp003,FDG88_gp003,CPT_Murica3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069358,FDG88_gp004,FDG88_gp004,CPT_Murica4,-,-,-,MoxR ATPase,protein-coding,-,-,-,MoxR ATPase,20210129,-
1675606,40069359,FDG88_gp005,FDG88_gp005,CPT_Murica5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069360,FDG88_gp006,FDG88_gp006,CPT_Murica6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069361,FDG88_gp007,FDG88_gp007,CPT_Murica7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069362,FDG88_gp008,FDG88_gp008,CPT_Murica8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069363,FDG88_gp009,FDG88_gp009,CPT_Murica9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069364,FDG88_gp010,FDG88_gp010,CPT_Murica10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069365,FDG88_gp011,FDG88_gp011,CPT_Murica11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069366,FDG88_gp012,FDG88_gp012,CPT_Murica12,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20200629,-
