#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662284,26625251,SEA_KIMBERLIUM_2,SEA_KIMBERLIUM_2,-,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201221,-
1662284,26625252,SEA_KIMBERLIUM_3,SEA_KIMBERLIUM_3,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201221,-
1662284,26625253,SEA_KIMBERLIUM_4,SEA_KIMBERLIUM_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1662284,26625254,SEA_KIMBERLIUM_5,SEA_KIMBERLIUM_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1662284,26625255,SEA_KIMBERLIUM_6,SEA_KIMBERLIUM_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1662284,26625256,SEA_KIMBERLIUM_7,SEA_KIMBERLIUM_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1662284,26625257,SEA_KIMBERLIUM_8,SEA_KIMBERLIUM_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1662284,26625258,SEA_KIMBERLIUM_9,SEA_KIMBERLIUM_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1662284,26625259,SEA_KIMBERLIUM_10,SEA_KIMBERLIUM_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1662284,26625260,SEA_KIMBERLIUM_11,SEA_KIMBERLIUM_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1662284,26625261,SEA_KIMBERLIUM_12,SEA_KIMBERLIUM_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1662284,26625262,SEA_KIMBERLIUM_13,SEA_KIMBERLIUM_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1662284,26625263,SEA_KIMBERLIUM_14,SEA_KIMBERLIUM_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1662284,26625264,SEA_KIMBERLIUM_15,SEA_KIMBERLIUM_15,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
