#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4956,5848217,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Saccharomyces rouxii).,other,-,-,-,-,20181022,-
4956,8201477,ZYRO0A00242g,ZYRO0A00242g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201478,ZYRO0A00528g,ZYRO0A00528g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201479,ZYRO0A00550g,ZYRO0A00550g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201480,ZYRO0A00330g,ZYRO0A00330g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201481,ZYRO0A00418r,ZYRO0A00418r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201482,ZYRO0A12892g,ZYRO0A12892g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201483,ZYRO0A12914g,ZYRO0A12914g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201484,ZYRO0A12936g,ZYRO0A12936g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201485,ZYRO0A12958g,ZYRO0A12958g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201486,ZYRO0A12980g,ZYRO0A12980g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201487,ZYRO0A13002g,ZYRO0A13002g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201488,ZYRO0A11814g,ZYRO0A11814g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201489,ZYRO0A11836g,ZYRO0A11836g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
