#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
192010,26836085,nad3,AYC56_gp02,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210607,-
192010,26836086,atp9,AYC56_gp03,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20210607,-
192010,26836087,cox2,AYC56_gp04,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210607,-
192010,26836088,trnR(acg),AYC56_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836089,trnR(tcg),AYC56_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836090,nad4L,AYC56_gp18,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210607,-
192010,26836091,nad5,AYC56_gp17,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210607,-
192010,26836092,trnR(tct),AYC56_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836093,cob,AYC56_gp16,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210607,-
192010,26836094,trnC(gca),AYC56_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836095,cox1,AYC56_gp15,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210607,-
192010,26836096,orf285,AYC56_gp13,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
192010,26836097,orf317,AYC56_gp12,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
192010,26836098,trnR(tct),AYC56_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836099,orf332,AYC56_gp14,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
192010,26836100,nad1,AYC56_gp11,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210607,-
192010,26836101,orf103,AYC56_gp10,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
192010,26836102,nad4,AYC56_gp09,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210607,-
192010,26836103,atp8,AYC56_gp08,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210607,-
192010,26836104,atp6,AYC56_gp07,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20210607,-
192010,26836105,rns,AYC56_gr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20160214,-
192010,26836106,trnY(gta),AYC56_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836107,trnD(gtc),AYC56_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836108,trnS(gct),AYC56_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836109,trnN(gtt),AYC56_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160214,-
192010,26836110,cox3,AYC56_gp06,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210607,-
192010,26836111,nad6,AYC56_gp05,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210607,-
192010,26836112,nad2,AYC56_gp01,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210607,-
192010,65079274,FMAN_00001,FMAN_00001,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079275,FMAN_00002,FMAN_00002,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079276,FMAN_00003,FMAN_00003,-,-,Unknown,-,related to dehydrogenases and related proteins,protein-coding,-,-,-,related to dehydrogenases and related proteins,20210607,-
192010,65079277,FMAN_00004,FMAN_00004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079278,FMAN_00005,FMAN_00005,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079279,FMAN_00006,FMAN_00006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079280,FMAN_00007,FMAN_00007,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079281,FMAN_00008,FMAN_00008,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079282,FMAN_00009,FMAN_00009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079283,FMAN_00010,FMAN_00010,-,-,Unknown,-,putative mfs-multidrug-resistance transporter,protein-coding,-,-,-,putative mfs-multidrug-resistance transporter,20210607,-
192010,65079284,FMAN_00011,FMAN_00011,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079285,FMAN_00012,FMAN_00012,-,-,Unknown,-,putative transporter (major facilitator superfamily),protein-coding,-,-,-,putative transporter (major facilitator superfamily),20210607,-
192010,65079286,FMAN_00013,FMAN_00013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079287,FMAN_00014,FMAN_00014,-,-,Unknown,-,putative Dextranase,protein-coding,-,-,-,putative Dextranase,20210607,-
192010,65079288,FMAN_00015,FMAN_00015,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079289,FMAN_00016,FMAN_00016,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079290,FMAN_00017,FMAN_00017,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079291,FMAN_00018,FMAN_00018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079292,FMAN_00019,FMAN_00019,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079293,FMAN_00020,FMAN_00020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079294,FMAN_00021,FMAN_00021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079295,FMAN_00022,FMAN_00022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079296,FMAN_00023,FMAN_00023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079297,FMAN_00024,FMAN_00024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079298,FMAN_00025,FMAN_00025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079299,FMAN_00026,FMAN_00026,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
