#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1868660,55002009,HOU05_gp02,HOU05_gp02,-,-,-,-,antirestriction protein,protein-coding,-,-,-,antirestriction protein,20210327,-
1868660,55002010,HOU05_gp03,HOU05_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002011,HOU05_gp04,HOU05_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002012,HOU05_gp05,HOU05_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002013,HOU05_gp06,HOU05_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002014,HOU05_gp07,HOU05_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002015,HOU05_gp08,HOU05_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002016,HOU05_gp09,HOU05_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002017,HOU05_gp10,HOU05_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002018,HOU05_gp11,HOU05_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002019,HOU05_gp12,HOU05_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002020,HOU05_gp13,HOU05_gp13,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210327,-
1868660,55002021,HOU05_gp14,HOU05_gp14,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210327,-
1868660,55002022,HOU05_gp15,HOU05_gp15,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210327,-
1868660,55002023,HOU05_gp16,HOU05_gp16,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210327,-
1868660,55002024,HOU05_gp17,HOU05_gp17,-,-,-,-,endodeoxyribonuclease I,protein-coding,-,-,-,endodeoxyribonuclease I,20210327,-
1868660,55002025,HOU05_gp18,HOU05_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002026,HOU05_gp19,HOU05_gp19,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210327,-
1868660,55002027,HOU05_gp20,HOU05_gp20,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210327,-
1868660,55002028,HOU05_gp21,HOU05_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002029,HOU05_gp22,HOU05_gp22,-,-,-,-,DNA polymerase family A,protein-coding,-,-,-,DNA polymerase family A,20210327,-
1868660,55002030,HOU05_gp23,HOU05_gp23,-,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20210327,-
1868660,55002031,HOU05_gp24,HOU05_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002032,HOU05_gp25,HOU05_gp25,-,-,-,-,DNA (cytosine-5-)-methyltransferase,protein-coding,-,-,-,DNA (cytosine-5-)-methyltransferase,20210327,-
1868660,55002033,HOU05_gp26,HOU05_gp26,-,-,-,-,putative cytosine-specific methyltransferase,protein-coding,-,-,-,putative cytosine-specific methyltransferase,20201221,-
1868660,55002034,HOU05_gp27,HOU05_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1868660,55002035,HOU05_gp28,HOU05_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002036,HOU05_gp29,HOU05_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002037,HOU05_gp30,HOU05_gp30,-,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20210327,-
1868660,55002038,HOU05_gp31,HOU05_gp31,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210327,-
1868660,55002039,HOU05_gp32,HOU05_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
