#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1916127,40073920,FDH22_gp02,FDH22_gp02,519_00002,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201221,-
1916127,40073921,FDH22_gp03,FDH22_gp03,519_00003,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1916127,40073922,FDH22_gp04,FDH22_gp04,519_00004,-,-,-,putative head-tail connector protein,protein-coding,-,-,-,putative head-tail connector protein,20201221,-
1916127,40073923,FDH22_gp05,FDH22_gp05,519_00005,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1916127,40073924,FDH22_gp06,FDH22_gp06,519_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073925,FDH22_gp07,FDH22_gp07,519_00007,-,-,-,putative RNA polymerase,protein-coding,-,-,-,putative RNA polymerase,20201221,-
1916127,40073926,FDH22_gp08,FDH22_gp08,519_00008,-,-,-,putative dNMP kinase,protein-coding,-,-,-,putative dNMP kinase,20201221,-
1916127,40073927,FDH22_gp09,FDH22_gp09,519_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1916127,40073928,FDH22_gp10,FDH22_gp10,519_00010,-,-,-,putative DNA endonuclease VII,protein-coding,-,-,-,putative DNA endonuclease VII,20210424,-
1916127,40073929,FDH22_gp11,FDH22_gp11,519_00011,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1916127,40073930,FDH22_gp12,FDH22_gp12,519_00012,-,-,-,putative DNA exonuclease,protein-coding,-,-,-,putative DNA exonuclease,20201221,-
1916127,40073931,FDH22_gp13,FDH22_gp13,519_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073932,FDH22_gp14,FDH22_gp14,519_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073933,FDH22_gp15,FDH22_gp15,519_00015,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1916127,40073934,FDH22_gp16,FDH22_gp16,519_00016,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1916127,40073935,FDH22_gp17,FDH22_gp17,519_00017,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20201221,-
1916127,40073936,FDH22_gp18,FDH22_gp18,519_00018,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1916127,40073937,FDH22_gp19,FDH22_gp19,519_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073938,FDH22_gp20,FDH22_gp20,519_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073939,FDH22_gp21,FDH22_gp21,519_00021,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1916127,40073940,FDH22_gp22,FDH22_gp22,519_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073941,FDH22_gp23,FDH22_gp23,519_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073942,FDH22_gp24,FDH22_gp24,519_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073943,FDH22_gp25,FDH22_gp25,519_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073944,FDH22_gp26,FDH22_gp26,519_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073945,FDH22_gp27,FDH22_gp27,519_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073946,FDH22_gp28,FDH22_gp28,519_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073947,FDH22_gp29,FDH22_gp29,519_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073948,FDH22_gp30,FDH22_gp30,519_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
