#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
360398,4594501,SABPV108_gp41,SABPV108_gp41,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201010,-
360398,4594502,SABPV108_gp42,SABPV108_gp42,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20200629,-
360398,4594503,SABPV108_gp43,SABPV108_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
360398,4594504,SABPV108_gp44,SABPV108_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594505,SABPV108_gp45,SABPV108_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594506,SABPV108_gp46,SABPV108_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
360398,4594507,SABPV108_gp47,SABPV108_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594508,SABPV108_gp48,SABPV108_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594509,SABPV108_gp49,SABPV108_gp49,-,-,-,-,tail length tape measure protein1,protein-coding,-,-,-,tail length tape measure protein1,20210417,-
360398,4594510,SABPV108_gp50,SABPV108_gp50,-,-,-,-,tail length tape measure protein2,protein-coding,-,-,-,tail length tape measure protein2,20210417,-
360398,4594511,SABPV108_gp51,SABPV108_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
360398,4594512,SABPV108_gp52,SABPV108_gp52,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
360398,4594513,SABPV108_gp53,SABPV108_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594514,SABPV108_gp54,SABPV108_gp54,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
360398,4594515,SABPV108_gp59,SABPV108_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594516,tnp,SABPV108_gp56,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20210320,-
360398,4594517,truncated lytA,SABPV108_gp55,-,-,-,-,truncated amidase,protein-coding,-,-,-,truncated amidase,20210417,-
360398,4594518,SABPV108_gp01,SABPV108_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594519,SABPV108_gp03,SABPV108_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594520,SABPV108_gp04,SABPV108_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594521,SABPV108_gp05,SABPV108_gp05,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200629,-
360398,4594522,SABPV108_gp06,SABPV108_gp06,-,-,-,-,cI-like repressor,protein-coding,-,-,-,cI-like repressor,20210417,-
