#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301539,54999076,2,HOT92_gp02,SEA_NEFERTHENA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2301539,54999077,3,HOT92_gp03,SEA_NEFERTHENA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999078,4,HOT92_gp04,SEA_NEFERTHENA_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2301539,54999079,5,HOT92_gp05,SEA_NEFERTHENA_5,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210403,-
2301539,54999080,6,HOT92_gp06,SEA_NEFERTHENA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999081,7,HOT92_gp07,SEA_NEFERTHENA_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2301539,54999082,8,HOT92_gp08,SEA_NEFERTHENA_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2301539,54999083,9,HOT92_gp09,SEA_NEFERTHENA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999084,10,HOT92_gp10,SEA_NEFERTHENA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999085,11,HOT92_gp11,SEA_NEFERTHENA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999086,12,HOT92_gp12,SEA_NEFERTHENA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999087,13,HOT92_gp13,SEA_NEFERTHENA_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
2301539,54999088,14,HOT92_gp14,SEA_NEFERTHENA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999089,15,HOT92_gp15,SEA_NEFERTHENA_15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2301539,54999090,17,HOT92_gp16,SEA_NEFERTHENA_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2301539,54999091,18,HOT92_gp18,SEA_NEFERTHENA_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2301539,54999092,16,HOT92_gp17,SEA_NEFERTHENA_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2301539,54999093,19,HOT92_gp19,SEA_NEFERTHENA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2301539,54999094,20,HOT92_gp20,SEA_NEFERTHENA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301539,54999095,21,HOT92_gp21,SEA_NEFERTHENA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301539,54999096,22,HOT92_gp22,SEA_NEFERTHENA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999097,23,HOT92_gp23,SEA_NEFERTHENA_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2301539,54999098,24,HOT92_gp24,SEA_NEFERTHENA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999099,25,HOT92_gp25,SEA_NEFERTHENA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301539,54999100,26,HOT92_gp26,SEA_NEFERTHENA_26,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2301539,54999101,27,HOT92_gp27,SEA_NEFERTHENA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999102,28,HOT92_gp28,SEA_NEFERTHENA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999103,29,HOT92_gp29,SEA_NEFERTHENA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999104,30,HOT92_gp30,SEA_NEFERTHENA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999105,31,HOT92_gp31,SEA_NEFERTHENA_31,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210403,-
2301539,54999106,32,HOT92_gp32,SEA_NEFERTHENA_32,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210403,-
2301539,54999107,33,HOT92_gp33,SEA_NEFERTHENA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999108,34,HOT92_gp34,SEA_NEFERTHENA_34,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210403,-
2301539,54999109,35,HOT92_gp35,SEA_NEFERTHENA_35,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2301539,54999110,36,HOT92_gp36,SEA_NEFERTHENA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999111,37,HOT92_gp37,SEA_NEFERTHENA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999112,38,HOT92_gp38,SEA_NEFERTHENA_38,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2301539,54999113,39,HOT92_gt01,SEA_NEFERTHENA_39,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2301539,54999114,40,HOT92_gp62,SEA_NEFERTHENA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999115,41,HOT92_gp61,SEA_NEFERTHENA_41,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2301539,54999116,42,HOT92_gp60,SEA_NEFERTHENA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999117,43,HOT92_gp59,SEA_NEFERTHENA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999118,44,HOT92_gp58,SEA_NEFERTHENA_44,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210403,-
2301539,54999119,45,HOT92_gp57,SEA_NEFERTHENA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999120,46,HOT92_gp56,SEA_NEFERTHENA_46,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20200910,-
2301539,54999121,47,HOT92_gp55,SEA_NEFERTHENA_47,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200910,-
