#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656582,55624441,2,HWC80_gp002,PBI_INDLULAMITHI_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2656582,55624442,3,HWC80_gp003,PBI_INDLULAMITHI_3,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624443,4,HWC80_gp004,PBI_INDLULAMITHI_4,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624444,5,HWC80_gp005,PBI_INDLULAMITHI_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624445,6,HWC80_gp006,PBI_INDLULAMITHI_6,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210424,-
2656582,55624446,7,HWC80_gp007,PBI_INDLULAMITHI_7,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200620,-
2656582,55624447,8,HWC80_gp008,PBI_INDLULAMITHI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624448,9,HWC80_gp009,PBI_INDLULAMITHI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624449,10,HWC80_gp010,PBI_INDLULAMITHI_10,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200620,-
2656582,55624450,11,HWC80_gp011,PBI_INDLULAMITHI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624451,12,HWC80_gp012,PBI_INDLULAMITHI_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2656582,55624452,13,HWC80_gp013,PBI_INDLULAMITHI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624453,14,HWC80_gp014,PBI_INDLULAMITHI_14,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200620,-
2656582,55624454,15,HWC80_gp015,PBI_INDLULAMITHI_15,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2656582,55624455,16,HWC80_gp016,PBI_INDLULAMITHI_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624456,17,HWC80_gp017,PBI_INDLULAMITHI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624457,18,HWC80_gp018,PBI_INDLULAMITHI_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2656582,55624458,19,HWC80_gp019,PBI_INDLULAMITHI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624459,20,HWC80_gp020,PBI_INDLULAMITHI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624460,21,HWC80_gp021,PBI_INDLULAMITHI_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200905,-
2656582,55624461,22,HWC80_gp022,PBI_INDLULAMITHI_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2656582,55624462,23,HWC80_gp023,PBI_INDLULAMITHI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624463,24,HWC80_gp024,PBI_INDLULAMITHI_24,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200620,-
2656582,55624464,25,HWC80_gp025,PBI_INDLULAMITHI_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2656582,55624465,26,HWC80_gp026,PBI_INDLULAMITHI_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2656582,55624466,27,HWC80_gp027,PBI_INDLULAMITHI_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2656582,55624467,28,HWC80_gp028,PBI_INDLULAMITHI_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2656582,55624468,29,HWC80_gp029,PBI_INDLULAMITHI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624469,30,HWC80_gp030,PBI_INDLULAMITHI_30,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624470,31,HWC80_gp031,PBI_INDLULAMITHI_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2656582,55624471,32,HWC80_gp032,PBI_INDLULAMITHI_32,-,-,-,holin,protein-coding,-,-,-,holin,20200620,-
2656582,55624472,33,HWC80_gp033,PBI_INDLULAMITHI_33,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624473,34,HWC80_gp034,PBI_INDLULAMITHI_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624474,35,HWC80_gp035,PBI_INDLULAMITHI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624475,36,HWC80_gp036,PBI_INDLULAMITHI_36,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200620,-
2656582,55624476,37,HWC80_gp037,PBI_INDLULAMITHI_37,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
2656582,55624477,38,HWC80_gp038,PBI_INDLULAMITHI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624478,39,HWC80_gp039,PBI_INDLULAMITHI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624479,40,HWC80_gp040,PBI_INDLULAMITHI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624480,42,HWC80_gp042,PBI_INDLULAMITHI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624481,43,HWC80_gp043,PBI_INDLULAMITHI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624482,44,HWC80_gp044,PBI_INDLULAMITHI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624483,45,HWC80_gp045,PBI_INDLULAMITHI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624484,46,HWC80_gp046,PBI_INDLULAMITHI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624485,47,HWC80_gp047,PBI_INDLULAMITHI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624486,48,HWC80_gp048,PBI_INDLULAMITHI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624487,49,HWC80_gp049,PBI_INDLULAMITHI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624488,50,HWC80_gp050,PBI_INDLULAMITHI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656582,55624489,51,HWC80_gp051,PBI_INDLULAMITHI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624490,52,HWC80_gp052,PBI_INDLULAMITHI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624491,53,HWC80_gp053,PBI_INDLULAMITHI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624492,54,HWC80_gp054,PBI_INDLULAMITHI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624493,56,HWC80_gp056,PBI_INDLULAMITHI_56,-,-,-,lipoprotein domain protein,protein-coding,-,-,-,lipoprotein domain protein,20200620,-
