#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
722418,26041082,APL46_gp002,APL46_gp002,CPt10_0011,-,-,-,Putative base plate hub assembly catalyst,protein-coding,-,-,-,Putative base plate hub assembly catalyst,20200629,-
722418,26041083,APL46_gp003,APL46_gp003,CPt10_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041084,APL46_gp004,APL46_gp004,CPt10_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041085,APL46_gp005,APL46_gp005,CPt10_0041,-,-,-,Putative phage DNA topoisomerase (large subunit),protein-coding,-,-,-,Putative phage DNA topoisomerase (large subunit),20200629,-
722418,26041086,APL46_gp006,APL46_gp006,CPt10_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041087,APL46_gp007,APL46_gp007,CPt10_0061,-,-,-,Putative phage dUTP pyrophosphatase,protein-coding,-,-,-,Putative phage dUTP pyrophosphatase,20200629,-
722418,26041088,APL46_gp008,APL46_gp008,CPt10_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041089,APL46_gp009,APL46_gp009,CPt10_0081,-,-,-,Putative DNA primase subunit,protein-coding,-,-,-,Putative DNA primase subunit,20200629,-
722418,26041090,APL46_gp010,APL46_gp010,CPt10_0091,-,-,-,pseudo,pseudo,-,-,-,-,20200909,-
722418,26041091,APL46_gp011,APL46_gp011,CPt10_0101,-,-,-,Putative DNA polymerase accessory factor (sliding clamp loader),protein-coding,-,-,-,Putative DNA polymerase accessory factor (sliding clamp loader),20200629,-
722418,26041092,APL46_gp012,APL46_gp012,CPt10_0111,-,-,-,Putative phage RNase H,protein-coding,-,-,-,Putative phage RNase H,20200629,-
722418,26041093,APL46_gp013,APL46_gp013,CPt10_0121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
