#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1622190,26641445,AVT65_gp02,AVT65_gp02,Gmala1_2,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1622190,26641446,AVT65_gp03,AVT65_gp03,Gmala1_3,-,-,-,DUF935-like protein,protein-coding,-,-,-,DUF935-like protein,20201221,-
1622190,26641447,AVT65_gp04,AVT65_gp04,Gmala1_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641448,AVT65_gp05,AVT65_gp05,Gmala1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641449,AVT65_gp06,AVT65_gp06,Gmala1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641450,AVT65_gp07,AVT65_gp07,Gmala1_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1622190,26641451,AVT65_gp08,AVT65_gp08,Gmala1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641452,AVT65_gp09,AVT65_gp09,Gmala1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641453,AVT65_gp10,AVT65_gp10,Gmala1_10,-,-,-,morphogensis protein,protein-coding,-,-,-,morphogensis protein,20201221,-
1622190,26641454,AVT65_gp11,AVT65_gp11,Gmala1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641455,AVT65_gp12,AVT65_gp12,Gmala1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641456,AVT65_gp13,AVT65_gp13,Gmala1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641457,AVT65_gp14,AVT65_gp14,Gmala1_15,-,-,-,pre-TMP frameshift protein,protein-coding,-,-,-,pre-TMP frameshift protein,20201221,-
1622190,26641458,AVT65_gp15,AVT65_gp15,Gmala1_14,-,-,-,pre-TMP frameshift protein,protein-coding,-,-,-,pre-TMP frameshift protein,20201221,-
1622190,26641459,AVT65_gp17,AVT65_gp17,Gmala1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641460,AVT65_gp18,AVT65_gp18,Gmala1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641461,AVT65_gp19,AVT65_gp19,Gmala1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641462,AVT65_gp20,AVT65_gp20,Gmala1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641463,AVT65_gp21,AVT65_gp21,Gmala1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641464,AVT65_gp22,AVT65_gp22,Gmala1_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1622190,26641465,AVT65_gp23,AVT65_gp23,Gmala1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641466,AVT65_gp24,AVT65_gp24,Gmala1_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1622190,26641467,AVT65_gp25,AVT65_gp25,Gmala1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641468,AVT65_gp26,AVT65_gp26,Gmala1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641469,AVT65_gp27,AVT65_gp27,Gmala1_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622190,26641470,AVT65_gp28,AVT65_gp28,Gmala1_28,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1622190,26641471,AVT65_gp29,AVT65_gp29,Gmala1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641472,AVT65_gp30,AVT65_gp30,Gmala1_30,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622190,26641473,AVT65_gp31,AVT65_gp31,Gmala1_31,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622190,26641474,AVT65_gp32,AVT65_gp32,Gmala1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641475,AVT65_gp33,AVT65_gp33,Gmala1_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1622190,26641476,AVT65_gp34,AVT65_gp34,Gmala1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641477,AVT65_gp35,AVT65_gp35,Gmala1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641478,AVT65_gp36,AVT65_gp36,Gmala1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641479,AVT65_gp37,AVT65_gp37,Gmala1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641480,AVT65_gp38,AVT65_gp38,Gmala1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641481,AVT65_gp39,AVT65_gp39,Gmala1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641482,AVT65_gp40,AVT65_gp40,Gmala1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641483,AVT65_gp41,AVT65_gp41,Gmala1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641484,AVT65_gp42,AVT65_gp42,Gmala1_42,-,-,-,thymidylate synthase ThyX,protein-coding,-,-,-,thymidylate synthase ThyX,20201221,-
1622190,26641485,AVT65_gp43,AVT65_gp43,Gmala1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641486,AVT65_gp44,AVT65_gp44,Gmala1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641487,AVT65_gp45,AVT65_gp45,Gmala1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641488,AVT65_gp46,AVT65_gp46,Gmala1_46,-,-,-,transcription factor WhiB,protein-coding,-,-,-,transcription factor WhiB,20201221,-
1622190,26641489,AVT65_gp47,AVT65_gp47,Gmala1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641490,AVT65_gp48,AVT65_gp48,Gmala1_48,-,-,-,RusA-like ribonuclease,protein-coding,-,-,-,RusA-like ribonuclease,20201221,-
1622190,26641491,AVT65_gp49,AVT65_gp49,Gmala1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641492,AVT65_gp50,AVT65_gp50,Gmala1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641493,AVT65_gp51,AVT65_gp51,Gmala1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641494,AVT65_gp52,AVT65_gp52,Gmala1_52,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
