#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933111,54979260,HOR60_gp02,HOR60_gp02,K_2,-,-,-,putative tail tubular B protein,protein-coding,-,-,-,putative tail tubular B protein,20201221,-
1933111,54979261,HOR60_gp03,HOR60_gp03,K_3,-,-,-,putative internal virion protein,protein-coding,-,-,-,putative internal virion protein,20210212,-
1933111,54979262,HOR60_gp04,HOR60_gp04,K_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933111,54979263,HOR60_gp05,HOR60_gp05,K_5,-,-,-,putative internal virion protein,protein-coding,-,-,-,putative internal virion protein,20210212,-
1933111,54979264,HOR60_gp06,HOR60_gp06,K_6,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210212,-
1933111,54979265,HOR60_gp07,HOR60_gp07,K_7,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1933111,54979266,HOR60_gp08,HOR60_gp08,K_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979267,HOR60_gp09,HOR60_gp09,K_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
1933111,54979268,HOR60_gp10,HOR60_gp10,K_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979269,HOR60_gp11,HOR60_gp11,K_11,-,-,-,putative acetyl-CoA acetyltransferase,protein-coding,-,-,-,putative acetyl-CoA acetyltransferase,20201221,-
1933111,54979270,HOR60_gp12,HOR60_gp12,K_12,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210129,-
1933111,54979271,HOR60_gp13,HOR60_gp13,K_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979272,HOR60_gp14,HOR60_gp14,K_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979273,HOR60_gp15,HOR60_gp15,K_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979274,HOR60_gp16,HOR60_gp16,K_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979275,HOR60_gp17,HOR60_gp17,K_17,-,-,-,catalytic beta propeller domain of endosialidase,protein-coding,-,-,-,catalytic beta propeller domain of endosialidase,20210212,-
1933111,54979276,HOR60_gp18,HOR60_gp18,K_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979277,HOR60_gp19,HOR60_gp19,K_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979278,HOR60_gp20,HOR60_gp20,K_20,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210212,-
1933111,54979279,HOR60_gp21,HOR60_gp21,K_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979280,HOR60_gp22,HOR60_gp22,K_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979281,HOR60_gp23,HOR60_gp23,K_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979282,HOR60_gp24,HOR60_gp24,K_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979283,HOR60_gp25,HOR60_gp25,K_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979284,HOR60_gp26,HOR60_gp26,K_26,-,-,-,thermostable DNA polymerase I,protein-coding,-,-,-,thermostable DNA polymerase I,20210129,-
1933111,54979285,HOR60_gp27,HOR60_gp27,K_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979286,HOR60_gp28,HOR60_gp28,K_28,-,-,-,polysaccharide chain length determinant protein,protein-coding,-,-,-,polysaccharide chain length determinant protein,20201221,-
1933111,54979287,HOR60_gp29,HOR60_gp29,K_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979288,HOR60_gp30,HOR60_gp30,K_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979289,HOR60_gp31,HOR60_gp31,K_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979290,HOR60_gp32,HOR60_gp32,K_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979291,HOR60_gp33,HOR60_gp33,K_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933111,54979292,HOR60_gp34,HOR60_gp34,K_34,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210212,-
1933111,54979293,HOR60_gp35,HOR60_gp35,K_35,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1933111,54979294,HOR60_gp36,HOR60_gp36,K_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
