#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656556,60336049,2,I5J40_gp02,SEA_ATCOO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2656556,60336050,3,I5J40_gp03,SEA_ATCOO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656556,60336051,4,I5J40_gp04,SEA_ATCOO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210425,-
2656556,60336052,5,I5J40_gp05,SEA_ATCOO_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2656556,60336053,6,I5J40_gp06,SEA_ATCOO_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2656556,60336054,7,I5J40_gp07,SEA_ATCOO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336055,8,I5J40_gp08,SEA_ATCOO_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2656556,60336056,9,I5J40_gp09,SEA_ATCOO_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2656556,60336057,10,I5J40_gp10,SEA_ATCOO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656556,60336058,11,I5J40_gp11,SEA_ATCOO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336059,12,I5J40_gp12,SEA_ATCOO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336060,13,I5J40_gp13,SEA_ATCOO_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2656556,60336061,14,I5J40_gp14,SEA_ATCOO_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2656556,60336062,16,I5J40_gp15,SEA_ATCOO_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2656556,60336063,17,I5J40_gp17,SEA_ATCOO_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201203,-
2656556,60336064,15,I5J40_gp16,SEA_ATCOO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2656556,60336065,18,I5J40_gp18,SEA_ATCOO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2656556,60336066,19,I5J40_gp19,SEA_ATCOO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2656556,60336067,20,I5J40_gp20,SEA_ATCOO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2656556,60336068,21,I5J40_gp21,SEA_ATCOO_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2656556,60336069,22,I5J40_gp22,SEA_ATCOO_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2656556,60336070,23,I5J40_gp23,SEA_ATCOO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336071,24,I5J40_gp24,SEA_ATCOO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336072,25,I5J40_gp25,SEA_ATCOO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336073,26,I5J40_gp26,SEA_ATCOO_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2656556,60336074,27,I5J40_gp27,SEA_ATCOO_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2656556,60336075,28,I5J40_gp28,SEA_ATCOO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656556,60336076,29,I5J40_gp29,SEA_ATCOO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656556,60336077,30,I5J40_gp30,SEA_ATCOO_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210403,-
2656556,60336078,31,I5J40_gp31,SEA_ATCOO_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2656556,60336079,32,I5J40_gp32,SEA_ATCOO_32,-,-,-,excise,protein-coding,-,-,-,excise,20210403,-
2656556,60336080,33,I5J40_gp33,SEA_ATCOO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336081,34,I5J40_gp34,SEA_ATCOO_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210428,-
2656556,60336082,35,I5J40_gp35,SEA_ATCOO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656556,60336083,36,I5J40_gp36,SEA_ATCOO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336084,37,I5J40_gp37,SEA_ATCOO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336085,38,I5J40_gp38,SEA_ATCOO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656556,60336086,39,I5J40_gp39,SEA_ATCOO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336087,40,I5J40_gp40,SEA_ATCOO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336088,41,I5J40_gp41,SEA_ATCOO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336089,42,I5J40_gp42,SEA_ATCOO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336090,43,I5J40_gp43,SEA_ATCOO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336091,44,I5J40_gp44,SEA_ATCOO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336092,45,I5J40_gp45,SEA_ATCOO_45,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210123,-
2656556,60336093,46,I5J40_gp46,SEA_ATCOO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656556,60336094,47,I5J40_gp47,SEA_ATCOO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336095,48,I5J40_gp48,SEA_ATCOO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336096,49,I5J40_gp49,SEA_ATCOO_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210116,-
2656556,60336097,50,I5J40_gp50,SEA_ATCOO_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2656556,60336098,51,I5J40_gp51,SEA_ATCOO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336099,52,I5J40_gp52,SEA_ATCOO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336100,53,I5J40_gp53,SEA_ATCOO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336101,54,I5J40_gp54,SEA_ATCOO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656556,60336102,55,I5J40_gp55,SEA_ATCOO_55,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2656556,60336103,56,I5J40_gp56,SEA_ATCOO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336104,57,I5J40_gp57,SEA_ATCOO_57,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2656556,60336105,58,I5J40_gp58,SEA_ATCOO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336106,59,I5J40_gp59,SEA_ATCOO_59,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2656556,60336107,60,I5J40_gp60,SEA_ATCOO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336108,61,I5J40_gp61,SEA_ATCOO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2656556,60336109,62,I5J40_gp62,SEA_ATCOO_62,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2656556,60336110,63,I5J40_gp63,SEA_ATCOO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
