#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1054480,14010526,F412_gp273,F412_gp273,-,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200629,-
1054480,14010527,F412_gt003,F412_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010528,F412_gt002,F412_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010529,F412_gt004,F412_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010530,F412_gt005,F412_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010531,F412_gt006,F412_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010532,F412_gt007,F412_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010533,F412_gt008,F412_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010534,F412_gt009,F412_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010535,F412_gt010,F412_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010536,F412_gt011,F412_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010537,F412_gp135,F412_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010538,F412_gp272,F412_gp272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1054480,14010539,F412_gp271,F412_gp271,-,-,-,-,DNA topoisomerase subunit DNA-dependent ATPase,protein-coding,-,-,-,DNA topoisomerase subunit DNA-dependent ATPase,20201220,-
1054480,14010540,F412_gp270,F412_gp270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010541,F412_gp269,F412_gp269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010542,F412_gp268,F412_gp268,-,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20201220,-
1054480,14010543,F412_gp267,F412_gp267,-,-,-,-,RNA metabolism modulator,protein-coding,-,-,-,RNA metabolism modulator,20200629,-
1054480,14010544,F412_gp266,F412_gp266,-,-,-,-,modifier of suppressor T4 tRNAs,protein-coding,-,-,-,modifier of suppressor T4 tRNAs,20200629,-
1054480,14010545,F412_gp265,F412_gp265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010546,F412_gp264,F412_gp264,-,-,-,-,transcription regulatory protein,protein-coding,-,-,-,transcription regulatory protein,20200629,-
1054480,14010547,F412_gp263,F412_gp263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1054480,14010548,F412_gp262,F412_gp262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010549,F412_gp261,F412_gp261,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20200629,-
1054480,14010550,F412_gp260,F412_gp260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010551,F412_gp259,F412_gp259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010552,F412_gp258,F412_gp258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010553,F412_gp257,F412_gp257,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210313,-
1054480,14010554,F412_gp256,F412_gp256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010555,F412_gp255,F412_gp255,-,-,-,-,putative Srd anti-sigma factor,protein-coding,-,-,-,putative Srd anti-sigma factor,20200629,-
1054480,14010556,F412_gp254,F412_gp254,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200629,-
1054480,14010557,F412_gp253,F412_gp253,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200629,-
1054480,14010558,F412_gp252,F412_gp252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010559,F412_gp251,F412_gp251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
