#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2448909,65117360,KNU25_gp002,KNU25_gp002,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
2448909,65117361,KNU25_gp003,KNU25_gp003,-,-,-,-,hinge connector long tail fiber,protein-coding,-,-,-,hinge connector long tail fiber,20210607,-
2448909,65117362,KNU25_gp004,KNU25_gp004,-,-,-,-,tail connector protein,protein-coding,-,-,-,tail connector protein,20210607,-
2448909,65117363,KNU25_gp005,KNU25_gp005,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2448909,65117364,KNU25_gp006,KNU25_gp006,-,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20210607,-
2448909,65117365,KNU25_gp007,KNU25_gp007,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210612,-
2448909,65117366,KNU25_gp008,KNU25_gp008,-,-,-,-,late promoter transcription factor,protein-coding,-,-,-,late promoter transcription factor,20210607,-
2448909,65117367,KNU25_gp009,KNU25_gp009,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2448909,65117368,KNU25_gp010,KNU25_gp010,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210607,-
2448909,65117369,KNU25_gp011,KNU25_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2448909,65117370,KNU25_gp012,KNU25_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2448909,65117371,KNU25_gp013,KNU25_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2448909,65117372,KNU25_gp014,KNU25_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2448909,65117373,KNU25_gp015,KNU25_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
