#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034108,40233471,2,FGG24_gp02,PBI_JC27_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
1034108,40233472,3,FGG24_gp03,PBI_JC27_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233473,4,FGG24_gp04,PBI_JC27_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233474,5,FGG24_gp05,PBI_JC27_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233475,6,FGG24_gp06,PBI_JC27_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034108,40233476,7,FGG24_gp07,PBI_JC27_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233477,8,FGG24_gp08,PBI_JC27_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233478,9,FGG24_gp09,PBI_JC27_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233479,10,FGG24_gp10,PBI_JC27_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1034108,40233480,11,FGG24_gp11,PBI_JC27_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233481,12,FGG24_gp12,PBI_JC27_12,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1034108,40233482,13,FGG24_gp13,PBI_JC27_13,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
1034108,40233483,14,FGG24_gp14,PBI_JC27_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1034108,40233484,15,FGG24_gp15,PBI_JC27_15,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1034108,40233485,16,FGG24_gp16,PBI_JC27_16,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1034108,40233486,17,FGG24_gp17,PBI_JC27_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1034108,40233487,18,FGG24_gp18,PBI_JC27_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233488,19,FGG24_gp19,PBI_JC27_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1034108,40233489,20,FGG24_gp20,PBI_JC27_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1034108,40233490,21,FGG24_gp21,PBI_JC27_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034108,40233491,22,FGG24_gp22,PBI_JC27_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
