#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1036616,40084097,2,FDI15_gp002,SHILAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1036616,40084098,3,FDI15_gp003,SHILAN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
1036616,40084099,4,FDI15_gp004,SHILAN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1036616,40084100,5,FDI15_gp005,SHILAN_5,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200629,-
1036616,40084101,6,FDI15_gp006,SHILAN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1036616,40084102,7,FDI15_gp007,SHILAN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084103,8,FDI15_gp008,SHILAN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084104,9,FDI15_gp009,SHILAN_9,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210406,-
1036616,40084105,10,FDI15_gp010,SHILAN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084106,11,FDI15_gp011,SHILAN_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200629,-
1036616,40084107,13,FDI15_gp012,SHILAN_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1036616,40084108,14,FDI15_gp014,SHILAN_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200629,-
1036616,40084109,12,FDI15_gp013,SHILAN_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1036616,40084110,15,FDI15_gp015,SHILAN_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200629,-
1036616,40084111,16,FDI15_gp016,SHILAN_16,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200629,-
1036616,40084112,17,FDI15_gp017,SHILAN_17,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200629,-
1036616,40084113,18,FDI15_gp018,SHILAN_18,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200629,-
1036616,40084114,19,FDI15_gp019,SHILAN_19,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20210406,-
1036616,40084115,20,FDI15_gp020,SHILAN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1036616,40084116,21,FDI15_gp021,SHILAN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084117,22,FDI15_gp022,SHILAN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084118,23,FDI15_gp023,SHILAN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084119,24,FDI15_gp024,SHILAN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084120,25,FDI15_gp025,SHILAN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084121,27,FDI15_gp027,SHILAN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084122,28,FDI15_gp028,SHILAN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084123,29,FDI15_gp029,SHILAN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084124,30,FDI15_gp030,SHILAN_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
1036616,40084125,31,FDI15_gp031,SHILAN_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200629,-
1036616,40084126,32,FDI15_gp032,SHILAN_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1036616,40084127,33,FDI15_gp033,SHILAN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084128,34,FDI15_gp034,SHILAN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084129,35,FDI15_gp035,SHILAN_35,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210129,-
1036616,40084130,36,FDI15_gp036,SHILAN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084131,37,FDI15_gp037,SHILAN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084132,38,FDI15_gp038,SHILAN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084133,44,FDI15_gp044,SHILAN_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
1036616,40084134,45,FDI15_gp045,SHILAN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084135,48,FDI15_gp048,SHILAN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084136,49,FDI15_gp049,SHILAN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1036616,40084137,50,FDI15_gp050,SHILAN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084138,51,FDI15_gp051,SHILAN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084139,52,FDI15_gp052,SHILAN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084140,53,FDI15_gp053,SHILAN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084141,54,FDI15_gp054,SHILAN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084142,55,FDI15_gp055,SHILAN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
