#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500826,24667787,PHL163M00_02,PHL163M00_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500826,24667788,PHL163M00_03,PHL163M00_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500826,24667789,PHL163M00_04,PHL163M00_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667790,PHL163M00_05,PHL163M00_05,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500826,24667791,PHL163M00_06,PHL163M00_06,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500826,24667792,PHL163M00_07,PHL163M00_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667793,PHL163M00_08,PHL163M00_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667794,PHL163M00_09,PHL163M00_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667795,PHL163M00_10,PHL163M00_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667796,PHL163M00_11,PHL163M00_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500826,24667797,PHL163M00_12,PHL163M00_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667798,PHL163M00_13,PHL163M00_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667799,PHL163M00_14,PHL163M00_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500826,24667800,PHL163M00_15,PHL163M00_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500826,24667801,PHL163M00_16,PHL163M00_16,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500826,24667802,PHL163M00_17,PHL163M00_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667803,PHL163M00_18,PHL163M00_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667804,PHL163M00_19,PHL163M00_19,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500826,24667805,PHL163M00_20,PHL163M00_20,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500826,24667806,PHL163M00_21,PHL163M00_21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500826,24667807,PHL163M00_22,PHL163M00_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667808,PHL163M00_23,PHL163M00_23,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500826,24667809,PHL163M00_24,PHL163M00_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667810,PHL163M00_25,PHL163M00_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667811,PHL163M00_26,PHL163M00_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667812,PHL163M00_27,PHL163M00_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667813,PHL163M00_28,PHL163M00_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667814,PHL163M00_29,PHL163M00_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667815,PHL163M00_30,PHL163M00_30,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500826,24667816,PHL163M00_31,PHL163M00_31,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500826,24667817,PHL163M00_32,PHL163M00_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667818,PHL163M00_33,PHL163M00_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500826,24667819,PHL163M00_34,PHL163M00_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667820,PHL163M00_35,PHL163M00_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667821,PHL163M00_36,PHL163M00_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500826,24667822,PHL163M00_37,PHL163M00_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667823,PHL163M00_38,PHL163M00_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667824,PHL163M00_39,PHL163M00_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667825,PHL163M00_40,PHL163M00_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667826,PHL163M00_41,PHL163M00_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667827,PHL163M00_42,PHL163M00_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667828,PHL163M00_43,PHL163M00_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667829,PHL163M00_44,PHL163M00_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667830,PHL163M00_45,PHL163M00_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500826,24667831,PHL163M00_46,PHL163M00_46,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500826,24667832,PHL163M00_01,PHL163M00_01,-,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500826,24936544,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
