#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1195073,14296419,G167_gp67,G167_gp67,BcepMigl_gp67,-,-,-,PAPS reductase-like protein,protein-coding,-,-,-,PAPS reductase-like protein,20200909,-
1195073,14296420,G167_gp68,G167_gp68,BcepMigl_gp68,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296421,G167_gp69,G167_gp69,BcepMigl_gp69,-,-,-,DarB-like antirestriction protein,protein-coding,-,-,-,DarB-like antirestriction protein,20200909,-
1195073,14296422,G167_gp70,G167_gp70,BcepMigl_gp70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296423,G167_gp71,G167_gp71,BcepMigl_gp71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296424,G167_gp72,G167_gp72,BcepMigl_gp72,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1195073,14296425,G167_gp73,G167_gp73,BcepMigl_gp73,-,-,-,SAR endolysin,protein-coding,-,-,-,SAR endolysin,20200909,-
1195073,14296426,G167_gp74,G167_gp74,BcepMigl_gp74,-,-,-,Rz-like lysis protein,protein-coding,-,-,-,Rz-like lysis protein,20200909,-
1195073,14296427,G167_gp75,G167_gp75,BcepMigl_gp75,-,-,-,Rz1-like lysis protein,protein-coding,-,-,-,Rz1-like lysis protein,20200909,-
1195073,14296428,G167_gp10,G167_gp10,BcepMigl_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296429,G167_gp01,G167_gp01,BcepMigl_gp01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296430,G167_gp02,G167_gp02,BcepMigl_gp02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296431,G167_gp03,G167_gp03,BcepMigl_gp03,-,-,-,tyrosine recombinase,protein-coding,-,-,-,tyrosine recombinase,20201221,-
1195073,14296432,G167_gp04,G167_gp04,BcepMigl_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296433,G167_gp05,G167_gp05,BcepMigl_gp05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296434,G167_gp06,G167_gp06,BcepMigl_gp06,-,-,-,RecT-like protein,protein-coding,-,-,-,RecT-like protein,20200909,-
1195073,14296435,G167_gp07,G167_gp07,BcepMigl_gp07,-,-,-,nuclease/RecB-like protein,protein-coding,-,-,-,nuclease/RecB-like protein,20201221,-
1195073,14296436,G167_gp08,G167_gp08,BcepMigl_gp08,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1195073,14296437,G167_gp09,G167_gp09,BcepMigl_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296438,G167_gt01,G167_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1195073,14296439,G167_gp11,G167_gp11,BcepMigl_gp11,-,-,-,DUF2303 protein,protein-coding,-,-,-,DUF2303 protein,20200909,-
1195073,14296440,G167_gp12,G167_gp12,BcepMigl_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296441,G167_gp13,G167_gp13,BcepMigl_gp13,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20200909,-
1195073,14296442,G167_gp14,G167_gp14,BcepMigl_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296443,G167_gp15,G167_gp15,BcepMigl_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296444,G167_gp16,G167_gp16,BcepMigl_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296445,G167_gp17,G167_gp17,BcepMigl_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296446,G167_gp18,G167_gp18,BcepMigl_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296447,G167_gp19,G167_gp19,BcepMigl_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296448,G167_gp20,G167_gp20,BcepMigl_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296449,G167_gp21,G167_gp21,BcepMigl_gp21,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200909,-
1195073,14296450,G167_gp22,G167_gp22,BcepMigl_gp22,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20201221,-
1195073,14296451,G167_gp23,G167_gp23,BcepMigl_gp23,-,-,-,DnaC-like helicase loader,protein-coding,-,-,-,DnaC-like helicase loader,20200909,-
1195073,14296452,G167_gp24,G167_gp24,BcepMigl_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296453,G167_gp25,G167_gp25,BcepMigl_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296454,G167_gp26,G167_gp26,BcepMigl_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296455,G167_gp27,G167_gp27,BcepMigl_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296456,G167_gp28,G167_gp28,BcepMigl_gp28,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1195073,14296457,G167_gp29,G167_gp29,BcepMigl_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296458,G167_gp30,G167_gp30,BcepMigl_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296459,G167_gp31,G167_gp31,BcepMigl_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296460,G167_gp32,G167_gp32,BcepMigl_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296461,G167_gp33,G167_gp33,BcepMigl_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296462,G167_gp34,G167_gp34,BcepMigl_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296463,G167_gp35,G167_gp35,BcepMigl_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296464,G167_gp36,G167_gp36,BcepMigl_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296465,G167_gp37,G167_gp37,BcepMigl_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296466,G167_gp38,G167_gp38,BcepMigl_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296467,G167_gp39,G167_gp39,BcepMigl_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296468,G167_gp40,G167_gp40,BcepMigl_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296469,G167_gp41,G167_gp41,BcepMigl_gp41,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1195073,14296470,G167_gp42,G167_gp42,BcepMigl_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296471,G167_gp43,G167_gp43,BcepMigl_gp43,-,-,-,Sec signal protein,protein-coding,-,-,-,Sec signal protein,20200909,-
1195073,14296472,G167_gp44,G167_gp44,BcepMigl_gp44,-,-,-,GIY-YIG domain-containing protein,protein-coding,-,-,-,GIY-YIG domain-containing protein,20200909,-
1195073,14296473,G167_gp45,G167_gp45,BcepMigl_gp45,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1195073,14296474,G167_gp46,G167_gp46,BcepMigl_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296475,G167_gp47,G167_gp47,BcepMigl_gp47,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1195073,14296476,G167_gp48,G167_gp48,BcepMigl_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296477,G167_gp49,G167_gp49,BcepMigl_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296478,G167_gp50,G167_gp50,BcepMigl_gp50,-,-,-,CsrA-like regulator,protein-coding,-,-,-,CsrA-like regulator,20200909,-
1195073,14296479,G167_gp51,G167_gp51,BcepMigl_gp51,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1195073,14296480,G167_gp52,G167_gp52,BcepMigl_gp52,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296481,G167_gp53,G167_gp53,BcepMigl_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296482,G167_gp54,G167_gp54,BcepMigl_gp54,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296483,G167_gp55,G167_gp55,BcepMigl_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1195073,14296484,G167_gp56,G167_gp56,BcepMigl_gp56,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296485,G167_gp57,G167_gp57,BcepMigl_gp57,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296486,G167_gp58,G167_gp58,BcepMigl_gp58,-,-,-,pectin lyase-like protein,protein-coding,-,-,-,pectin lyase-like protein,20201221,-
1195073,14296487,G167_gp59,G167_gp59,BcepMigl_gp59,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296488,G167_gp60,G167_gp60,BcepMigl_gp60,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1195073,14296489,G167_gp61,G167_gp61,BcepMigl_gp61,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1195073,14296490,G167_gp62,G167_gp62,BcepMigl_gp62,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1195073,14296491,G167_gp63,G167_gp63,BcepMigl_gp63,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296492,G167_gp64,G167_gp64,BcepMigl_gp64,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14296493,G167_gp65,G167_gp65,BcepMigl_gp65,-,-,-,Acyl-CoA N-acyltransferase,protein-coding,-,-,-,Acyl-CoA N-acyltransferase,20200909,-
1195073,14296494,G167_gp66,G167_gp66,BcepMigl_gp66,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20200909,-
1195073,14311116,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia cenocepacia phage BcepMigl; Burkholderia phage BcepMigl).,other,-,-,-,-,20200513,-
