#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2571253,62974387,2,JZX82_gp02,SEA_WILLIAM_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210228,-
2571253,62974388,3,JZX82_gp03,SEA_WILLIAM_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210228,-
2571253,62974389,4,JZX82_gp04,SEA_WILLIAM_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210228,-
2571253,62974390,5,JZX82_gp05,SEA_WILLIAM_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210228,-
2571253,62974391,6,JZX82_gp06,SEA_WILLIAM_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210228,-
2571253,62974392,7,JZX82_gp07,SEA_WILLIAM_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974393,8,JZX82_gp08,SEA_WILLIAM_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210228,-
2571253,62974394,9,JZX82_gp09,SEA_WILLIAM_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210228,-
2571253,62974395,10,JZX82_gp10,SEA_WILLIAM_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974396,11,JZX82_gp11,SEA_WILLIAM_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974397,12,JZX82_gp12,SEA_WILLIAM_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974398,13,JZX82_gp13,SEA_WILLIAM_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210228,-
2571253,62974399,14,JZX82_gp14,SEA_WILLIAM_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210228,-
2571253,62974400,16,JZX82_gp15,SEA_WILLIAM_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210228,-
2571253,62974401,17,JZX82_gp17,SEA_WILLIAM_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210228,-
2571253,62974402,15,JZX82_gp16,SEA_WILLIAM_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210228,-
