#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772300,40078485,2,FDH58_gp02,HUNTERDALLE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772300,40078486,3,FDH58_gp03,HUNTERDALLE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772300,40078487,4,FDH58_gp04,HUNTERDALLE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1772300,40078488,5,FDH58_gp05,HUNTERDALLE_5,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201221,-
1772300,40078489,6,FDH58_gp06,HUNTERDALLE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078490,7,FDH58_gp07,HUNTERDALLE_7,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1772300,40078491,8,FDH58_gp08,HUNTERDALLE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078492,9,FDH58_gp09,HUNTERDALLE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078493,10,FDH58_gp10,HUNTERDALLE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078494,11,FDH58_gp11,HUNTERDALLE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078495,13,FDH58_gp12,HUNTERDALLE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772300,40078496,14,FDH58_gp14,HUNTERDALLE_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772300,40078497,12,FDH58_gp13,HUNTERDALLE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772300,40078498,15,FDH58_gp15,HUNTERDALLE_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772300,40078499,16,FDH58_gp16,HUNTERDALLE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772300,40078500,17,FDH58_gp17,HUNTERDALLE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772300,40078501,18,FDH58_gp18,HUNTERDALLE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772300,40078502,19,FDH58_gp19,HUNTERDALLE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078503,20,FDH58_gp20,HUNTERDALLE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078504,21,FDH58_gp21,HUNTERDALLE_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1772300,40078505,22,FDH58_gp22,HUNTERDALLE_22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772300,40078506,23,FDH58_gp23,HUNTERDALLE_23,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
1772300,40078507,24,FDH58_gp24,HUNTERDALLE_24,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772300,40078508,25,FDH58_gp25,HUNTERDALLE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078509,26,FDH58_gp26,HUNTERDALLE_26,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772300,40078510,27,FDH58_gp27,HUNTERDALLE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078511,28,FDH58_gp28,HUNTERDALLE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078512,29,FDH58_gp29,HUNTERDALLE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078513,30,FDH58_gp30,HUNTERDALLE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078514,31,FDH58_gp31,HUNTERDALLE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
