#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053705,55808532,HYP52_gp02,HYP52_gp02,bIBB5g1_gp02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2053705,55808533,HYP52_gp03,HYP52_gp03,bIBB5g1_gp03,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200919,-
2053705,55808534,HYP52_gp04,HYP52_gp04,bIBB5g1_gp04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2053705,55808535,HYP52_gp05,HYP52_gp05,bIBB5g1_gp05,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210417,-
2053705,55808536,HYP52_gp06,HYP52_gp06,bIBB5g1_gp06,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200704,-
2053705,55808537,HYP52_gp07,HYP52_gp07,bIBB5g1_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808538,HYP52_gp08,HYP52_gp08,bIBB5g1_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808539,HYP52_gp09,HYP52_gp09,bIBB5g1_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808540,HYP52_gp10,HYP52_gp10,bIBB5g1_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808541,HYP52_gp11,HYP52_gp11,bIBB5g1_gp11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2053705,55808542,HYP52_gp12,HYP52_gp12,bIBB5g1_gp12,-,-,-,tail structural protein,protein-coding,-,-,-,tail structural protein,20200704,-
2053705,55808543,HYP52_gp13,HYP52_gp13,bIBB5g1_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808544,HYP52_gp14,HYP52_gp14,bIBB5g1_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808545,HYP52_gp15,HYP52_gp15,bIBB5g1_gp15,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210424,-
2053705,55808546,HYP52_gp16,HYP52_gp16,bIBB5g1_gp16,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210417,-
2053705,55808547,HYP52_gp17,HYP52_gp17,bIBB5g1_gp17,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210417,-
2053705,55808548,HYP52_gp18,HYP52_gp18,bIBB5g1_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808549,HYP52_gp19,HYP52_gp19,bIBB5g1_gp19,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210417,-
2053705,55808550,HYP52_gp20,HYP52_gp20,bIBB5g1_gp20,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2053705,55808551,HYP52_gp21,HYP52_gp21,bIBB5g1_gp21,-,-,-,lysin,protein-coding,-,-,-,lysin,20210417,-
2053705,55808552,HYP52_gp22,HYP52_gp22,bIBB5g1_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2053705,55808553,HYP52_gp23,HYP52_gp23,bIBB5g1_gp23,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210424,-
2053705,55808554,HYP52_gp24,HYP52_gp24,bIBB5g1_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808555,HYP52_gp25,HYP52_gp25,bIBB5g1_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808556,HYP52_gp26,HYP52_gp26,bIBB5g1_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808557,HYP52_gp27,HYP52_gp27,bIBB5g1_gp27,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210424,-
2053705,55808558,HYP52_gp28,HYP52_gp28,bIBB5g1_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808559,HYP52_gp29,HYP52_gp29,bIBB5g1_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808560,HYP52_gp30,HYP52_gp30,bIBB5g1_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
