#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933771,60333924,I5H89_gp002,I5H89_gp002,SimranZ1_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1933771,60333925,I5H89_gp003,I5H89_gp003,SimranZ1_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
1933771,60333926,I5H89_gp004,I5H89_gp004,SimranZ1_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1933771,60333927,I5H89_gp005,I5H89_gp005,SimranZ1_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
1933771,60333928,I5H89_gp006,I5H89_gp006,SimranZ1_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
1933771,60333929,I5H89_gp007,I5H89_gp007,SimranZ1_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1933771,60333930,I5H89_gp008,I5H89_gp008,SimranZ1_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1933771,60333931,I5H89_gp009,I5H89_gp009,SimranZ1_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1933771,60333932,I5H89_gp010,I5H89_gp010,SimranZ1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1933771,60333933,I5H89_gp011,I5H89_gp011,SimranZ1_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1933771,60333934,I5H89_gp012,I5H89_gp012,SimranZ1_12,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
1933771,60333935,I5H89_gp013,I5H89_gp013,SimranZ1_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1933771,60333936,I5H89_gp015,I5H89_gp015,SimranZ1_15,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
1933771,60333937,I5H89_gp014,I5H89_gp014,SimranZ1_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
