#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965484,55805509,HYP08_gp02,HYP08_gp02,R31_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
1965484,55805510,HYP08_gp03,HYP08_gp03,R31_003,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
1965484,55805511,HYP08_gp04,HYP08_gp04,R31_004,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
1965484,55805512,HYP08_gp05,HYP08_gp05,R31_005,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210515,-
1965484,55805513,HYP08_gp06,HYP08_gp06,R31_006,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
1965484,55805514,HYP08_gp07,HYP08_gp07,R31_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805515,HYP08_gp08,HYP08_gp08,R31_008,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1965484,55805516,HYP08_gp09,HYP08_gp09,R31_009,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1965484,55805517,HYP08_gp10,HYP08_gp10,R31_010,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1965484,55805518,HYP08_gp11,HYP08_gp11,R31_011,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210515,-
1965484,55805519,HYP08_gp12,HYP08_gp12,R31_012,-,-,-,neck passage structure protein,protein-coding,-,-,-,neck passage structure protein,20200704,-
1965484,55805520,HYP08_gp13,HYP08_gp13,R31_013,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200704,-
1965484,55805521,HYP08_gp14,HYP08_gp14,R31_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805522,HYP08_gp15,HYP08_gp15,R31_015,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
1965484,55805523,HYP08_gp16,HYP08_gp16,R31_016,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210515,-
1965484,55805524,HYP08_gp17,HYP08_gp17,R31_017,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210515,-
1965484,55805525,HYP08_gp18,HYP08_gp18,R31_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805526,HYP08_gp19,HYP08_gp19,R31_019,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210515,-
1965484,55805527,HYP08_gp20,HYP08_gp20,R31_020,-,-,-,bifunctional anti-holin / holin,protein-coding,-,-,-,bifunctional anti-holin / holin,20200704,-
1965484,55805528,HYP08_gp21,HYP08_gp21,R31_021,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210515,-
1965484,55805529,HYP08_gp22,HYP08_gp22,R31_022,-,-,-,bidirectional terminator,protein-coding,-,-,-,bidirectional terminator,20210515,-
1965484,55805530,HYP08_gp23,HYP08_gp23,R31_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
