#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327959,18505009,CH35_gp002,CH35_gp002,MaF1660_ph0002,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20201221,-
1327959,18505010,CH35_gp003,CH35_gp003,MaF1660_ph0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505011,CH35_gp004,CH35_gp004,MaF1660_ph0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505012,CH35_gp005,CH35_gp005,MaF1660_ph0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505013,CH35_gp006,CH35_gp006,MaF1660_ph0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505014,CH35_gp007,CH35_gp007,MaF1660_ph0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505015,CH35_gp008,CH35_gp008,MaF1660_ph0008,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210320,-
1327959,18505016,CH35_gp009,CH35_gp009,MaF1660_ph0009,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1327959,18505017,CH35_gp010,CH35_gp010,MaF1660_ph0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505018,CH35_gp011,CH35_gp011,MaF1660_ph0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505019,CH35_gp012,CH35_gp012,MaF1660_ph0012,-,-,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20201221,-
1327959,18505020,CH35_gp013,CH35_gp013,MaF1660_ph0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505021,CH35_gp014,CH35_gp014,MaF1660_ph0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505022,CH35_gp015,CH35_gp015,MaF1660_ph0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505023,CH35_gp016,CH35_gp016,MaF1660_ph0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505024,CH35_gp017,CH35_gp017,MaF1660_ph0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
