#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2742107,60336128,2,I5J41_gp02,SEA_JUNG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2742107,60336129,3,I5J41_gp03,SEA_JUNG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2742107,60336130,4,I5J41_gp04,SEA_JUNG_4,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20210522,-
2742107,60336131,5,I5J41_gp05,SEA_JUNG_5,-,-,-,saffolding protein,protein-coding,-,-,-,saffolding protein,20210417,-
2742107,60336132,6,I5J41_gp06,SEA_JUNG_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2742107,60336133,7,I5J41_gp07,SEA_JUNG_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336134,8,I5J41_gp08,SEA_JUNG_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210522,-
2742107,60336135,9,I5J41_gp09,SEA_JUNG_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2742107,60336136,10,I5J41_gp10,SEA_JUNG_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336137,11,I5J41_gp11,SEA_JUNG_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336138,12,I5J41_gp12,SEA_JUNG_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336139,13,I5J41_gp13,SEA_JUNG_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2742107,60336140,14,I5J41_gp14,SEA_JUNG_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2742107,60336141,16,I5J41_gp15,SEA_JUNG_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2742107,60336142,17,I5J41_gp17,SEA_JUNG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2742107,60336143,15,I5J41_gp16,SEA_JUNG_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2742107,60336144,18,I5J41_gp18,SEA_JUNG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
