#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591374,56134649,H1N99_gp02,H1N99_gp02,SEGES_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591374,56134650,H1N99_gp03,H1N99_gp03,SEGES_3,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591374,56134651,H1N99_gp04,H1N99_gp04,SEGES_4,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201217,-
2591374,56134652,H1N99_gp05,H1N99_gp05,SEGES_5,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210424,-
2591374,56134653,H1N99_gp06,H1N99_gp06,SEGES_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134654,H1N99_gp07,H1N99_gp07,SEGES_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591374,56134655,H1N99_gp08,H1N99_gp08,SEGES_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134656,H1N99_gp09,H1N99_gp09,SEGES_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591374,56134657,H1N99_gp10,H1N99_gp10,SEGES_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134658,H1N99_gp11,H1N99_gp11,SEGES_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134659,H1N99_gp12,H1N99_gp12,SEGES_12,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210424,-
2591374,56134660,H1N99_gp13,H1N99_gp13,SEGES_13,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201217,-
2591374,56134661,H1N99_gp14,H1N99_gp14,SEGES_14,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201217,-
2591374,56134662,H1N99_gp15,H1N99_gp15,SEGES_15,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20200912,-
2591374,56134663,H1N99_gp16,H1N99_gp16,SEGES_16,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20210424,-
2591374,56134664,H1N99_gp17,H1N99_gp17,SEGES_17,-,-,-,putative tail length tape-measure protein,protein-coding,-,-,-,putative tail length tape-measure protein,20201217,-
2591374,56134665,H1N99_gp18,H1N99_gp18,SEGES_18,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210424,-
2591374,56134666,H1N99_gp19,H1N99_gp19,SEGES_19,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201217,-
2591374,56134667,H1N99_gp20,H1N99_gp20,SEGES_20,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210424,-
2591374,56134668,H1N99_gp21,H1N99_gp21,SEGES_21,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201217,-
2591374,56134669,H1N99_gp22,H1N99_gp22,SEGES_22,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2591374,56134670,H1N99_gp23,H1N99_gp23,SEGES_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134671,H1N99_gp24,H1N99_gp24,SEGES_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134672,H1N99_gp25,H1N99_gp25,SEGES_25,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201217,-
2591374,56134673,H1N99_gp26,H1N99_gp26,SEGES_26,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20200724,-
2591374,56134674,H1N99_gp27,H1N99_gp27,SEGES_27,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210327,-
2591374,56134675,H1N99_gp28,H1N99_gp28,SEGES_28,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210424,-
2591374,56134676,H1N99_gp29,H1N99_gp29,SEGES_29,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201217,-
2591374,56134677,H1N99_gp30,H1N99_gp30,SEGES_30,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200912,-
2591374,56134678,H1N99_gp31,H1N99_gp31,SEGES_31,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201217,-
2591374,56134679,H1N99_gp32,H1N99_gp32,SEGES_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591374,56134680,H1N99_gp33,H1N99_gp33,SEGES_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134681,H1N99_gp34,H1N99_gp34,SEGES_34,-,-,-,putative DNA adenine methyltransferase,protein-coding,-,-,-,putative DNA adenine methyltransferase,20210424,-
2591374,56134682,H1N99_gp35,H1N99_gp35,SEGES_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134683,H1N99_gp36,H1N99_gp36,SEGES_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134684,H1N99_gp37,H1N99_gp37,SEGES_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134685,H1N99_gp38,H1N99_gp38,SEGES_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2591374,56134686,H1N99_gp39,H1N99_gp39,SEGES_39,-,-,-,putative polynucleotide kinase,protein-coding,-,-,-,putative polynucleotide kinase,20210424,-
2591374,56134687,H1N99_gp40,H1N99_gp40,SEGES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134688,H1N99_gp41,H1N99_gp41,SEGES_41,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200724,-
2591374,56134689,H1N99_gp42,H1N99_gp42,SEGES_42,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201217,-
2591374,56134690,H1N99_gp43,H1N99_gp43,SEGES_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591374,56134691,H1N99_gp44,H1N99_gp44,SEGES_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134692,H1N99_gp45,H1N99_gp45,SEGES_45,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210424,-
2591374,56134693,H1N99_gp46,H1N99_gp46,SEGES_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134694,H1N99_gp47,H1N99_gp47,SEGES_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134695,H1N99_gp48,H1N99_gp48,SEGES_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134696,H1N99_gp49,H1N99_gp49,SEGES_49,-,-,-,putative cytosine DNA methylase,protein-coding,-,-,-,putative cytosine DNA methylase,20200724,-
2591374,56134697,H1N99_gp50,H1N99_gp50,SEGES_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134698,H1N99_gp51,H1N99_gp51,SEGES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134699,H1N99_gp52,H1N99_gp52,SEGES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134700,H1N99_gp53,H1N99_gp53,SEGES_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134701,H1N99_gp54,H1N99_gp54,SEGES_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134702,H1N99_gp55,H1N99_gp55,SEGES_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134703,H1N99_gp56,H1N99_gp56,SEGES_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134704,H1N99_gp57,H1N99_gp57,SEGES_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134705,H1N99_gp58,H1N99_gp58,SEGES_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134706,H1N99_gp59,H1N99_gp59,SEGES_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134707,H1N99_gp60,H1N99_gp60,SEGES_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134708,H1N99_gp61,H1N99_gp61,SEGES_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134709,H1N99_gp62,H1N99_gp62,SEGES_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134710,H1N99_gp63,H1N99_gp63,SEGES_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134711,H1N99_gp64,H1N99_gp64,SEGES_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134712,H1N99_gp65,H1N99_gp65,SEGES_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134713,H1N99_gp66,H1N99_gp66,SEGES_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134714,H1N99_gp67,H1N99_gp67,SEGES_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134715,H1N99_gp68,H1N99_gp68,SEGES_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134716,H1N99_gp69,H1N99_gp69,SEGES_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134717,H1N99_gp70,H1N99_gp70,SEGES_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591374,56134718,H1N99_gp71,H1N99_gp71,SEGES_71,-,-,-,putative GntR-family transcriptional regulator,protein-coding,-,-,-,putative GntR-family transcriptional regulator,20200724,-
2591374,56134719,H1N99_gp72,H1N99_gp72,SEGES_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134720,H1N99_gp73,H1N99_gp73,SEGES_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134721,H1N99_gp74,H1N99_gp74,SEGES_74,-,-,-,putative GntR-family transcriptional regulator,protein-coding,-,-,-,putative GntR-family transcriptional regulator,20200724,-
2591374,56134722,H1N99_gp75,H1N99_gp75,SEGES_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134723,H1N99_gp76,H1N99_gp76,SEGES_76,-,-,-,putative Eaa-like protein,protein-coding,-,-,-,putative Eaa-like protein,20201217,-
2591374,56134724,H1N99_gp77,H1N99_gp77,SEGES_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134725,H1N99_gp78,H1N99_gp78,SEGES_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134726,H1N99_gp79,H1N99_gp79,SEGES_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134727,H1N99_gp80,H1N99_gp80,SEGES_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591374,56134728,H1N99_gp01,H1N99_gp01,SEGES_1,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210327,-
2591374,56166661,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
