#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
6185,4097435,ATP6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20210223,-
6185,4097436,ND2,-,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210223,-
6185,4097437,ND5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210223,-
6185,4097438,ND4L,-,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210223,-
6185,4097439,ND3,-,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210223,-
6185,4097440,ND1,-,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210223,-
6185,4097441,COX1,-,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20210223,-
6185,4097442,COX2,-,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,cytochrome c oxidase subunit II,20210223,-
6185,4097443,ND6,-,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210223,-
6185,4097444,COX3,-,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,cytochrome c oxidase subunit III,20210223,-
6185,4097445,CYTB,-,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210223,-
6185,4097446,ND4,-,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210223,-
6185,24587858,MS3_0013705,MS3_0013705,MS3_00001,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210223,-
6185,24587860,MS3_0013713,MS3_0013713,MS3_00003,-,Unknown,-,putative dead box ATP-dependent RNA helicase,protein-coding,-,-,-,putative dead box ATP-dependent RNA helicase,20210313,-
6185,24587861,MS3_0013730,MS3_0013730,MS3_00004,-,Unknown,-,putative alpha-glucosidase,protein-coding,-,-,-,putative alpha-glucosidase,20210313,-
6185,24587862,MS3_0013733,MS3_0013733,MS3_00005,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210327,-
6185,24587863,MS3_0013712,MS3_0013712,MS3_00006,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210313,-
6185,24587864,MS3_0013719,MS3_0013719,MS3_00007,-,Unknown,-,putative dead box ATP-dependent RNA helicase,protein-coding,-,-,-,putative dead box ATP-dependent RNA helicase,20210313,-
