#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1176423,13405620,B621_gp02,B621_gp02,P12026_02,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201221,-
1176423,13405621,B621_gp03,B621_gp03,P12026_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405622,B621_gp04,B621_gp04,P12026_04,-,-,-,"phage portal protein, HK97 family",protein-coding,-,-,-,"phage portal protein, HK97 family",20201221,-
1176423,13405623,B621_gp05,B621_gp05,P12026_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405624,B621_gp06,B621_gp06,P12026_06,-,-,-,phage prohead protease,protein-coding,-,-,-,phage prohead protease,20201221,-
1176423,13405625,B621_gp07,B621_gp07,P12026_07,-,-,-,"phage major capsid protein, HK97 family",protein-coding,-,-,-,"phage major capsid protein, HK97 family",20201221,-
1176423,13405626,B621_gp08,B621_gp08,P12026_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405627,B621_gp09,B621_gp09,P12026_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405628,B621_gp10,B621_gp10,P12026_10,-,-,-,phage head-tail adaptor,protein-coding,-,-,-,phage head-tail adaptor,20201221,-
1176423,13405629,B621_gp11,B621_gp11,P12026_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405630,B621_gp12,B621_gp12,P12026_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405631,B621_gp13,B621_gp13,P12026_13,-,-,-,phage major tail protein,protein-coding,-,-,-,phage major tail protein,20201221,-
1176423,13405632,B621_gp14,B621_gp14,P12026_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405633,B621_gp15,B621_gp15,P12026_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405634,B621_gp16,B621_gp16,P12026_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405635,B621_gp17,B621_gp17,P12026_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405636,B621_gp18,B621_gp18,P12026_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405637,B621_gp19,B621_gp19,P12026_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405638,B621_gp20,B621_gp20,P12026_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
