#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656562,64868915,2,KIP53_gp002,SEA_BLINN1_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210522,-
2656562,64868916,3,KIP53_gp003,SEA_BLINN1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868917,4,KIP53_gp004,SEA_BLINN1_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2656562,64868918,6,KIP53_gp006,SEA_BLINN1_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2656562,64868919,7,KIP53_gp007,SEA_BLINN1_7,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2656562,64868920,8,KIP53_gp008,SEA_BLINN1_8,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2656562,64868921,9,KIP53_gt001,SEA_BLINN1_9,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2656562,64868922,10,KIP53_gt002,SEA_BLINN1_10,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2656562,64868923,11,KIP53_gt003,SEA_BLINN1_11,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2656562,64868924,12,KIP53_gp097,SEA_BLINN1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868925,1,KIP53_gp001,SEA_BLINN1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868926,13,KIP53_gp096,SEA_BLINN1_13,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210514,-
2656562,64868927,14,KIP53_gp095,SEA_BLINN1_14,-,-,-,holin,protein-coding,-,-,-,holin,20210514,-
2656562,64868928,15,KIP53_gp094,SEA_BLINN1_15,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210514,-
2656562,64868929,16,KIP53_gp093,SEA_BLINN1_16,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210514,-
2656562,64868930,17,KIP53_gp092,SEA_BLINN1_17,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210514,-
2656562,64868931,18,KIP53_gp091,SEA_BLINN1_18,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210514,-
2656562,64868932,19,KIP53_gp090,SEA_BLINN1_19,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210514,-
2656562,64868933,20,KIP53_gp089,SEA_BLINN1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868934,21,KIP53_gp088,SEA_BLINN1_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210514,-
2656562,64868935,22,KIP53_gp087,SEA_BLINN1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868936,23,KIP53_gp086,SEA_BLINN1_23,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210514,-
2656562,64868937,24,KIP53_gp085,SEA_BLINN1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868938,25,KIP53_gp084,SEA_BLINN1_25,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210514,-
2656562,64868939,26,KIP53_gp083,SEA_BLINN1_26,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210514,-
2656562,64868940,28,KIP53_gp081,SEA_BLINN1_28,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210514,-
2656562,64868941,29,KIP53_gp080,SEA_BLINN1_29,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210514,-
2656562,64868942,27,KIP53_gp082,SEA_BLINN1_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210514,-
2656562,64868943,30,KIP53_gp079,SEA_BLINN1_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2656562,64868944,31,KIP53_gp078,SEA_BLINN1_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2656562,64868945,32,KIP53_gp077,SEA_BLINN1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868946,33,KIP53_gp076,SEA_BLINN1_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2656562,64868947,34,KIP53_gp075,SEA_BLINN1_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2656562,64868948,35,KIP53_gp074,SEA_BLINN1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868949,36,KIP53_gp073,SEA_BLINN1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868950,37,KIP53_gp072,SEA_BLINN1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868951,39,KIP53_gp070,SEA_BLINN1_39,-,-,-,ParB-like dsDNA partitioning protein,protein-coding,-,-,-,ParB-like dsDNA partitioning protein,20210514,-
2656562,64868952,40,KIP53_gp069,SEA_BLINN1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868953,41,KIP53_gp068,SEA_BLINN1_41,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210514,-
2656562,64868954,42,KIP53_gp067,SEA_BLINN1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868955,43,KIP53_gp066,SEA_BLINN1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868956,44,KIP53_gp065,SEA_BLINN1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868957,45,KIP53_gp064,SEA_BLINN1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868958,46,KIP53_gp063,SEA_BLINN1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868959,47,KIP53_gp062,SEA_BLINN1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868960,48,KIP53_gp061,SEA_BLINN1_48,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210514,-
