#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089136,18566270,2,CL95_gp002,JACATTAC_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1089136,18566271,3,CL95_gp003,JACATTAC_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566272,4,CL95_gp004,JACATTAC_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566273,5,CL95_gp005,JACATTAC_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566274,6,CL95_gp006,JACATTAC_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1089136,18566275,7,CL95_gp007,JACATTAC_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1089136,18566276,8,CL95_gp008,JACATTAC_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1089136,18566277,9,CL95_gp009,JACATTAC_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1089136,18566278,10,CL95_gp010,JACATTAC_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1089136,18566279,11,CL95_gp011,JACATTAC_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566280,12,CL95_gp012,JACATTAC_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1089136,18566281,13,CL95_gp013,JACATTAC_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566282,14,CL95_gp014,JACATTAC_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566283,15,CL95_gp015,JACATTAC_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566284,16,CL95_gp016,JACATTAC_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566285,17,CL95_gp017,JACATTAC_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566286,18,CL95_gp018,JACATTAC_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1089136,18566287,19,CL95_gp019,JACATTAC_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566288,20,CL95_gp020,JACATTAC_20,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1089136,18566289,21,CL95_gp021,JACATTAC_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566290,22,CL95_gp022,JACATTAC_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1089136,18566291,23,CL95_gp023,JACATTAC_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566292,24,CL95_gp024,JACATTAC_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566293,25,CL95_gp025,JACATTAC_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1089136,18566294,26,CL95_gp026,JACATTAC_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566295,27,CL95_gp027,JACATTAC_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566296,28,CL95_gp028,JACATTAC_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1089136,18566297,29,CL95_gp029,JACATTAC_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089136,18566298,30,CL95_gp030,JACATTAC_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566299,31,CL95_gp031,JACATTAC_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566300,32,CL95_gp032,JACATTAC_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566301,33,CL95_gp033,JACATTAC_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566302,34,CL95_gp034,JACATTAC_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566303,35,CL95_gp035,JACATTAC_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566304,36,CL95_gp036,JACATTAC_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566305,37,CL95_gp037,JACATTAC_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566306,38,CL95_gp038,JACATTAC_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566307,39,CL95_gp039,JACATTAC_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566308,40,CL95_gp040,JACATTAC_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566309,41,CL95_gp041,JACATTAC_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566310,42,CL95_gp042,JACATTAC_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566311,43,CL95_gp043,JACATTAC_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566312,44,CL95_gp044,JACATTAC_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
