#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527515,22157808,PR08_gp02,PR08_gp02,M22_002,-,-,-,putative large terminase,protein-coding,-,-,-,putative large terminase,20201221,-
1527515,22157809,PR08_gp03,PR08_gp03,M22_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157810,PR08_gp04,PR08_gp04,M22_004,-,-,-,putative capsid morphogenesis protein,protein-coding,-,-,-,putative capsid morphogenesis protein,20201221,-
1527515,22157811,PR08_gp05,PR08_gp05,M22_005,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1527515,22157812,PR08_gp06,PR08_gp06,M22_006,-,-,-,putative capsid scaffold protein,protein-coding,-,-,-,putative capsid scaffold protein,20201221,-
1527515,22157813,PR08_gp07,PR08_gp07,M22_007,-,-,-,putative capsid coat protein,protein-coding,-,-,-,putative capsid coat protein,20201221,-
1527515,22157814,PR08_gp08,PR08_gp08,M22_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157815,PR08_gp09,PR08_gp09,M22_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157816,PR08_gp10,PR08_gp10,M22_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157817,PR08_gp11,PR08_gp11,M22_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157818,PR08_gp12,PR08_gp12,M22_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157819,PR08_gp13,PR08_gp13,M22_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157820,PR08_gp14,PR08_gp14,M22_014,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1527515,22157821,PR08_gp15,PR08_gp15,M22_015,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1527515,22157822,PR08_gp16,PR08_gp16,M22_016,-,-,-,putative tail minor protein,protein-coding,-,-,-,putative tail minor protein,20201221,-
1527515,22157823,PR08_gp17,PR08_gp17,M22_017,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1527515,22157824,PR08_gp18,PR08_gp18,M22_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157825,PR08_gp19,PR08_gp19,M22_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157826,PR08_gp20,PR08_gp20,M22_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157827,PR08_gp21,PR08_gp21,M22_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157828,PR08_gp22,PR08_gp22,M22_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157829,PR08_gp23,PR08_gp23,M22_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
