#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262533,16385382,HYO71_gp02,HYO71_gp02,340_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200703,-
1262533,16385383,HYO71_gp03,HYO71_gp03,340_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200703,-
1262533,16385384,HYO71_gp04,HYO71_gp04,340_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200703,-
1262533,16385385,HYO71_gp05,HYO71_gp05,340_005,-,-,-,putative head protease,protein-coding,-,-,-,putative head protease,20200703,-
1262533,16385386,HYO71_gp06,HYO71_gp06,340_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385387,HYO71_gp07,HYO71_gp07,340_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385388,HYO71_gp08,HYO71_gp08,340_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385389,HYO71_gp09,HYO71_gp09,340_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385390,HYO71_gp10,HYO71_gp10,340_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385391,HYO71_gp11,HYO71_gp11,340_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385392,HYO71_gp12,HYO71_gp12,340_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385393,HYO71_gp13,HYO71_gp13,340_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385394,HYO71_gp14,HYO71_gp14,340_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385395,HYO71_gp15,HYO71_gp15,340_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385396,HYO71_gp16,HYO71_gp16,340_0016,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200703,-
1262533,16385397,HYO71_gp17,HYO71_gp17,340_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385398,HYO71_gp18,HYO71_gp18,340_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385399,HYO71_gp19,HYO71_gp19,340_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
