#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445683,10327157,SShM2_002,SShM2_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445683,10327158,gp32,SShM2_003,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
445683,10327159,SShM2_004,SShM2_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327160,SShM2_005,SShM2_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327161,gp53,SShM2_006,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200909,-
445683,10327162,gp48,SShM2_007,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
445683,10327163,gp4,SShM2_008,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
445683,10327164,SShM2_009,SShM2_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327165,SShM2_010,SShM2_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327166,gp26,SShM2_011,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
445683,10327167,SShM2_012,SShM2_012,-,-,-,-,base plate hub assembly catalyst gp51,protein-coding,-,-,-,base plate hub assembly catalyst gp51,20200909,-
445683,10327168,SShM2_013,SShM2_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327169,SShM2_014,SShM2_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327170,SShM2_015,SShM2_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327171,SShM2_016,SShM2_016,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20200909,-
445683,10327172,cpeT,SShM2_017,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20200909,-
445683,10327173,SShM2_018,SShM2_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327174,gp5,SShM2_019,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200909,-
445683,10327175,SShM2_020,SShM2_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327176,SShM2_021,SShM2_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
