#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743905,63910582,2,KDI96_gp02,SEA_GISSELLE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210605,-
2743905,63910583,3,KDI96_gp03,SEA_GISSELLE_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210515,-
2743905,63910584,4,KDI96_gp04,SEA_GISSELLE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210605,-
2743905,63910585,5,KDI96_gp05,SEA_GISSELLE_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210515,-
2743905,63910586,6,KDI96_gp06,SEA_GISSELLE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910587,7,KDI96_gp07,SEA_GISSELLE_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210420,-
2743905,63910588,8,KDI96_gp08,SEA_GISSELLE_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210420,-
2743905,63910589,9,KDI96_gp09,SEA_GISSELLE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910590,10,KDI96_gp10,SEA_GISSELLE_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210420,-
2743905,63910591,11,KDI96_gp11,SEA_GISSELLE_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210420,-
2743905,63910592,13,KDI96_gp12,SEA_GISSELLE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2743905,63910593,14,KDI96_gp14,SEA_GISSELLE_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
2743905,63910594,12,KDI96_gp13,SEA_GISSELLE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2743905,63910595,15,KDI96_gp15,SEA_GISSELLE_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2743905,63910596,16,KDI96_gp16,SEA_GISSELLE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2743905,63910597,17,KDI96_gp17,SEA_GISSELLE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2743905,63910598,18,KDI96_gp18,SEA_GISSELLE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2743905,63910599,19,KDI96_gp19,SEA_GISSELLE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910600,20,KDI96_gp20,SEA_GISSELLE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910601,21,KDI96_gp21,SEA_GISSELLE_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210515,-
2743905,63910602,22,KDI96_gp22,SEA_GISSELLE_22,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2743905,63910603,23,KDI96_gp23,SEA_GISSELLE_23,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210605,-
