#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235461,14278081,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210407,-
1235461,25010849,C770_RS17235,C770_RS17235,C770_GR4pA053,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20160827,-
1235461,25010850,C770_RS17095,C770_RS17095,C770_GR4pA023,-,-,-,Site-specific DNA methylase,protein-coding,-,-,-,-,20150715,-
1235461,25010851,C770_RS17475,C770_RS17475,C770_GR4pA102,-,-,-,lytic transglycosylase,protein-coding,-,-,-,-,20150808,-
1235461,25010852,C770_RS17525,C770_RS17525,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150714,-
1235461,25010853,C770_RS17485,C770_RS17485,C770_GR4pA104,-,-,-,Micrococcal nuclease-like protein (thermonuclease),protein-coding,-,-,-,-,20210417,-
1235461,25010854,C770_RS17535,C770_RS17535,C770_GR4pA114,-,-,-,transcriptional regulator,protein-coding,-,-,-,-,20150715,-
1235461,25010855,C770_RS17505,C770_RS17505,C770_GR4pA107,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
1235461,25010856,C770_RS17465,C770_RS17465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170707,-
1235461,25010857,C770_RS17455,C770_RS17455,C770_GR4pA098,-,-,-,peptidoglycan-binding protein LysM,protein-coding,-,-,-,-,20210417,-
1235461,25010858,C770_RS17490,C770_RS17490,C770_GR4pA105,-,-,-,Micrococcal nuclease-like protein (thermonuclease),protein-coding,-,-,-,-,20170906,-
1235461,25010859,C770_RS17425,C770_RS17425,C770_GR4pA092,-,-,-,type IV secretion pathway protein VirB10,protein-coding,-,-,-,-,20210417,-
1235461,25010860,C770_RS17420,C770_RS17420,C770_GR4pA091,-,-,-,P-type DNA transfer ATPase VirB11,protein-coding,-,-,-,-,20210417,-
1235461,25010861,C770_RS17450,C770_RS17450,C770_GR4pA097,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
1235461,25010862,C770_RS17640,C770_RS17640,C770_GR4pA138,-,-,-,transposase,protein-coding,-,-,-,-,20171220,-
1235461,25010863,C770_RS17665,C770_RS17665,C770_GR4pA144,-,-,-,protein-disulfide isomerase,protein-coding,-,-,-,-,20210417,-
1235461,25010864,C770_RS17520,C770_RS17520,C770_GR4pA111,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150714,-
1235461,25010865,C770_RS17540,C770_RS17540,C770_GR4pA115,-,-,-,GntR family transcriptional regulator,protein-coding,-,-,-,-,20150714,-
1235461,25010866,C770_RS17495,C770_RS17495,-,-,-,-,hypothetical protein,pseudo,-,-,-,-,20150714,-
1235461,25010867,C770_RS17460,C770_RS17460,C770_GR4pA099,-,-,-,type IV secretion/conjugal transfer ATPase VirB4 family,protein-coding,-,-,-,-,20210417,-
1235461,25010868,C770_RS17470,C770_RS17470,C770_GR4pA101,-,-,-,type IV secretion pathway protein VirB2,protein-coding,-,-,-,-,20171220,-
