#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027252,55808150,HYP45_gp02,HYP45_gp02,LP9404_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027252,55808151,HYP45_gp03,HYP45_gp03,LP9404_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2027252,55808152,HYP45_gp04,HYP45_gp04,LP9404_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027252,55808153,HYP45_gp05,HYP45_gp05,LP9404_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2027252,55808154,HYP45_gp06,HYP45_gp06,LP9404_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027252,55808155,HYP45_gp07,HYP45_gp07,LP9404_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027252,55808156,HYP45_gp08,HYP45_gp08,LP9404_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027252,55808157,HYP45_gp09,HYP45_gp09,LP9404_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027252,55808158,HYP45_gp10,HYP45_gp10,LP9404_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027252,55808159,HYP45_gp11,HYP45_gp11,LP9404_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027252,55808160,HYP45_gp12,HYP45_gp12,LP9404_12,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20200704,-
2027252,55808161,HYP45_gp13,HYP45_gp13,LP9404_14,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2027252,55808162,HYP45_gp15,HYP45_gp15,LP9404_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027252,55808163,HYP45_gp14,HYP45_gp14,LP9404_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2027252,55808164,HYP45_gp16,HYP45_gp16,LP9404_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
