#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762421,65127828,2,KNV18_gp02,SEA_HEATH_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20210608,-
2762421,65127829,4,KNV18_gp04,SEA_HEATH_4,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210608,-
2762421,65127830,6,KNV18_gp06,SEA_HEATH_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127831,7,KNV18_gp07,SEA_HEATH_7,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210608,-
2762421,65127832,8,KNV18_gp08,SEA_HEATH_8,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762421,65127833,9,KNV18_gp09,SEA_HEATH_9,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2762421,65127834,10,KNV18_gp10,SEA_HEATH_10,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210608,-
2762421,65127835,11,KNV18_gp11,SEA_HEATH_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127836,12,KNV18_gp12,SEA_HEATH_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2762421,65127837,13,KNV18_gp13,SEA_HEATH_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127838,14,KNV18_gp14,SEA_HEATH_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127839,15,KNV18_gp15,SEA_HEATH_15,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762421,65127840,16,KNV18_gp16,SEA_HEATH_16,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762421,65127841,17,KNV18_gp17,SEA_HEATH_17,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762421,65127842,18,KNV18_gp18,SEA_HEATH_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2762421,65127843,19,KNV18_gp19,SEA_HEATH_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2762421,65127844,20,KNV18_gp20,SEA_HEATH_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127845,21,KNV18_gp21,SEA_HEATH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127846,22,KNV18_gp22,SEA_HEATH_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2762421,65127847,23,KNV18_gp23,SEA_HEATH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127848,24,KNV18_gp24,SEA_HEATH_24,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2762421,65127849,25,KNV18_gp25,SEA_HEATH_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762421,65127850,26,KNV18_gp26,SEA_HEATH_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762421,65127851,27,KNV18_gp27,SEA_HEATH_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762421,65127852,28,KNV18_gp28,SEA_HEATH_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762421,65127853,29,KNV18_gp29,SEA_HEATH_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762421,65127854,30,KNV18_gp30,SEA_HEATH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127855,32,KNV18_gp32,SEA_HEATH_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127856,33,KNV18_gp33,SEA_HEATH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127857,34,KNV18_gp34,SEA_HEATH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127858,35,KNV18_gp35,SEA_HEATH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127859,36,KNV18_gp36,SEA_HEATH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127860,37,KNV18_gp37,SEA_HEATH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127861,38,KNV18_gp38,SEA_HEATH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127862,39,KNV18_gp39,SEA_HEATH_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762421,65127863,40,KNV18_gp40,SEA_HEATH_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762421,65127864,41,KNV18_gp41,SEA_HEATH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127865,42,KNV18_gp42,SEA_HEATH_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2762421,65127866,43,KNV18_gp43,SEA_HEATH_43,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2762421,65127867,44,KNV18_gp44,SEA_HEATH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127868,45,KNV18_gp45,SEA_HEATH_45,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210608,-
2762421,65127869,46,KNV18_gp46,SEA_HEATH_46,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2762421,65127870,47,KNV18_gp47,SEA_HEATH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
