#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517944,60327218,2,I5H25_gp002,SEA_CORNUCOPIA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2517944,60327219,3,I5H25_gp003,SEA_CORNUCOPIA_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2517944,60327220,4,I5H25_gp004,SEA_CORNUCOPIA_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2517944,60327221,5,I5H25_gp005,SEA_CORNUCOPIA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327222,6,I5H25_gp006,SEA_CORNUCOPIA_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2517944,60327223,7,I5H25_gp007,SEA_CORNUCOPIA_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2517944,60327224,8,I5H25_gp008,SEA_CORNUCOPIA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2517944,60327225,9,I5H25_gp009,SEA_CORNUCOPIA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2517944,60327226,10,I5H25_gp010,SEA_CORNUCOPIA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517944,60327227,11,I5H25_gp011,SEA_CORNUCOPIA_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2517944,60327228,12,I5H25_gp012,SEA_CORNUCOPIA_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2517944,60327229,14,I5H25_gp013,SEA_CORNUCOPIA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2517944,60327230,15,I5H25_gp015,SEA_CORNUCOPIA_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2517944,60327231,13,I5H25_gp014,SEA_CORNUCOPIA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2517944,60327232,16,I5H25_gp016,SEA_CORNUCOPIA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517944,60327233,17,I5H25_gp017,SEA_CORNUCOPIA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517944,60327234,18,I5H25_gp018,SEA_CORNUCOPIA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517944,60327235,19,I5H25_gp019,SEA_CORNUCOPIA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517944,60327236,20,I5H25_gp020,SEA_CORNUCOPIA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2517944,60327237,21,I5H25_gp021,SEA_CORNUCOPIA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517944,60327238,22,I5H25_gp022,SEA_CORNUCOPIA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327239,23,I5H25_gp023,SEA_CORNUCOPIA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327240,24,I5H25_gp024,SEA_CORNUCOPIA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327241,25,I5H25_gp025,SEA_CORNUCOPIA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327242,26,I5H25_gp026,SEA_CORNUCOPIA_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2517944,60327243,27,I5H25_gp027,SEA_CORNUCOPIA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327244,28,I5H25_gp028,SEA_CORNUCOPIA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327245,29,I5H25_gp029,SEA_CORNUCOPIA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
